 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36
324,25.711,17.463,24.231,14.248,15.739,14.031,88.765,63.831,47.023,32.007,68.251,32.979,19.994,24.753,33.552,57.613,45.102,36.331,130.734,59.521,35.507,30.657,81.933,16.806,37.648,65.731,27.083,18.200,32.815,27.284,16.822,23.764,14.162,21.146,14.911,13.954
325,25.965,17.418,24.260,14.315,15.850,13.797,89.097,63.983,46.748,32.305,67.529,32.864,20.037,24.545,33.821,57.357,44.913,35.993,129.467,59.289,35.580,31.061,82.344,16.781,37.631,65.121,26.599,18.337,32.973,27.116,16.984,24.022,14.203,21.087,15.010,14.057
326,25.642,17.568,24.133,14.233,15.992,13.832,88.818,64.106,46.794,32.099,67.784,33.214,19.908,24.783,33.611,57.516,45.003,36.100,130.232,59.872,35.391,30.676,82.110,16.808,37.494,65.245,26.701,18.250,32.815,27.256,16.826,23.769,14.153,21.139,15.065,14.021
327,25.701,17.520,24.306,14.317,15.792,13.941,88.849,64.318,47.144,32.400,67.827,33.239,19.923,24.488,33.820,57.261,45.096,36.146,129.393,59.194,35.332,30.869,82.187,16.793,37.344,65.004,26.975,18.275,32.812,27.405,16.964,23.916,14.195,21.042,14.880,13.945
328,25.522,17.525,24.404,14.291,15.931,13.885,89.001,64.098,47.282,32.071,67.988,33.404,19.939,24.533,33.751,57.538,45.489,35.927,130.364,59.649,35.190,30.635,82.719,17.084,37.880,65.058,26.777,18.130,32.866,27.295,16.828,23.949,14.181,21.239,14.904,13.913
329,25.851,17.404,24.294,14.241,15.962,13.874,89.456,63.874,46.766,32.362,67.930,32.965,19.968,24.518,33.879,57.579,45.110,36.041,129.804,59.531,35.120,30.689,82.232,16.904,37.596,65.118,27.287,18.361,32.840,27.457,16.871,23.729,14.090,21.285,14.947,14.060
330,25.929,17.505,24.426,14.233,15.811,13.916,89.019,64.035,46.734,32.384,67.962,33.144,20.075,24.500,33.919,57.428,45.270,35.843,129.672,59.294,35.204,30.939,82.925,16.997,37.661,64.706,27.554,18.139,33.150,27.400,16.742,23.731,14.135,21.124,14.901,14.028
331,25.647,17.572,24.368,14.215,16.015,13.864,89.092,63.998,46.722,32.248,68.005,33.037,20.014,24.670,33.744,57.766,45.220,36.258,129.490,58.507,34.926,30.545,82.488,17.035,37.615,64.790,27.274,18.346,32.890,27.221,16.943,23.934,14.182,21.229,14.808,14.090
332,25.838,17.539,24.328,14.354,15.890,13.851,89.309,64.057,46.452,32.561,68.636,32.979,19.817,24.404,33.664,57.456,45.114,36.170,129.581,59.754,34.923,30.660,82.140,16.843,37.537,64.843,27.376,18.304,32.931,27.289,16.868,23.700,14.215,21.228,15.058,13.931
333,25.991,17.567,24.186,14.224,16.051,13.847,88.981,63.895,46.787,32.110,68.642,33.116,19.974,24.460,33.904,57.466,45.131,36.185,128.757,59.171,34.863,31.160,82.219,17.030,37.571,64.919,27.025,18.262,32.938,27.172,16.964,23.872,14.227,21.398,14.945,14.002
334,25.679,17.529,24.109,14.187,15.930,13.904,88.623,63.942,46.854,32.186,67.925,33.129,19.948,24.502,33.727,57.452,45.212,36.198,128.973,59.408,34.581,30.942,82.150,16.891,37.702,64.785,27.338,18.230,32.861,27.431,16.926,23.866,14.186,21.328,14.786,13.986
335,25.830,17.517,24.191,14.272,16.059,13.795,89.292,63.589,47.093,32.186,68.371,33.223,19.863,24.471,33.729,57.452,45.194,36.462,129.032,59.464,34.662,30.859,81.925,16.939,37.731,64.245,27.045,18.112,32.650,27.364,16.871,23.729,14.121,21.103,14.810,13.977
336,25.832,17.431,24.220,14.211,15.861,13.887,89.420,64.065,47.215,32.333,67.902,32.742,20.055,24.562,33.898,57.283,45.255,36.149,129.363,59.796,34.624,30.583,82.616,16.933,37.568,64.701,27.408,18.132,32.923,27.061,16.999,23.694,14.199,21.127,14.851,13.956
