 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28
556,18.568,18.124,17.692,20.221,22.399,19.277,21.083,20.384,21.722,19.875,20.404,21.786,22.979,20.963,21.205,23.460,19.545,20.760,21.652,19.671,19.347,20.199,19.490,19.440,19.029,17.855,17.638,18.652
557,18.836,18.170,17.714,20.233,22.244,19.353,21.127,20.283,21.711,19.930,20.416,21.656,22.966,20.967,21.240,23.452,19.426,20.913,21.855,19.717,19.318,20.135,19.661,19.616,18.888,17.806,17.611,18.615
558,19.344,18.369,17.737,20.411,22.623,19.372,21.006,20.403,21.786,20.666,20.596,22.050,23.177,21.262,21.264,23.472,19.780,22.355,21.912,19.698,19.286,20.353,19.716,19.551,19.018,17.864,17.802,18.776
559,19.629,18.537,17.743,20.705,22.323,19.623,21.525,20.392,21.933,21.546,20.699,22.520,23.444,21.135,21.717,23.624,19.936,23.758,22.365,19.656,19.487,20.519,19.747,19.728,19.287,17.864,17.832,18.929
560,20.278,18.793,17.807,20.894,22.437,19.817,21.522,20.469,21.872,21.611,20.684,22.699,24.062,21.078,21.620,23.778,19.970,24.009,22.227,19.946,19.658,20.554,19.670,19.674,19.333,17.833,17.809,18.928
561,20.743,18.800,17.721,20.894,22.639,19.886,21.381,20.481,21.986,21.905,20.861,22.791,24.295,21.229,21.860,23.752,20.124,23.790,22.128,19.910,19.663,20.401,19.778,19.923,19.325,17.919,17.821,18.827
562,20.806,18.732,17.785,20.772,22.576,19.932,21.528,20.473,21.919,22.112,21.130,22.792,24.216,21.140,21.583,23.649,20.062,23.582,22.147,19.677,19.649,20.593,19.946,19.809,19.346,17.810,17.840,18.977
563,21.887,19.062,17.938,21.063,22.766,20.114,21.429,20.498,21.977,22.125,20.953,23.027,24.432,21.305,21.816,23.875,20.199,24.941,22.417,19.867,19.590,20.698,19.876,19.896,19.376,17.890,17.964,19.084
564,22.339,19.063,17.956,22.025,22.813,20.336,21.826,20.719,22.165,23.397,21.378,24.387,26.094,21.595,22.994,23.863,21.059,26.679,22.644,19.958,19.777,21.114,20.051,20.188,19.802,17.845,18.238,19.394
565,22.050,19.023,18.066,22.541,22.965,20.461,22.113,20.951,22.218,23.736,21.342,25.677,26.955,21.666,23.508,24.100,21.158,27.310,23.090,20.158,19.914,21.539,20.169,20.378,19.956,17.845,18.235,19.322
566,22.152,19.014,17.963,22.612,22.766,20.552,22.132,20.962,22.168,23.329,21.463,25.903,26.451,21.520,23.147,24.036,21.350,26.858,22.855,20.210,19.745,21.082,20.103,20.487,19.929,17.817,18.208,19.453
567,22.188,19.035,18.182,22.343,22.769,20.535,21.961,20.987,22.160,23.214,21.348,25.687,25.970,21.425,22.816,24.002,21.551,26.989,22.771,20.000,19.855,21.071,20.161,20.426,20.083,17.834,18.237,19.195
568,22.013,19.111,18.089,22.750,22.696,20.560,21.939,20.865,21.970,23.007,21.395,25.458,26.169,21.628,22.895,23.843,21.460,27.440,22.874,20.096,19.824,21.061,19.988,20.383,20.038,17.892,18.327,19.439
569,21.731,19.028,17.981,22.466,22.766,20.427,21.759,20.907,22.041,22.768,21.204,24.934,25.895,21.452,22.574,24.004,21.030,26.928,22.688,20.058,19.787,20.920,20.106,20.555,20.107,17.835,18.293,19.303
570,21.490,19.019,18.010,22.278,23.025,20.483,21.684,20.819,22.061,22.469,21.112,24.545,25.556,21.621,22.773,23.970,20.851,26.433,22.457,20.044,19.674,21.166,19.965,20.350,19.828,17.824,18.252,19.087
571,21.094,18.938,18.060,22.093,22.772,20.254,21.586,20.973,21.999,22.259,21.177,23.957,25.579,21.438,22.748,23.930,20.549,26.178,22.310,20.033,19.606,20.833,19.813,20.220,19.787,17.761,18.303,19.001
572,21.196,18.966,18.077,22.115,22.769,20.514,21.634,20.851,22.016,22.150,20.988,23.923,25.632,21.550,22.562,23.881,20.579,26.718,22.397,19.844,19.639,21.059,20.054,20.315,19.745,17.778,18.199,18.962
573,20.966,18.883,18.112,21.825,22.772,20.242,21.406,20.825,21.853,22.000,21.198,23.441,25.120,21.346,22.471,23.785,20.590,26.233,22.269,19.938,19.634,21.071,19.958,20.276,19.718,17.919,18.246,18.935
574,20.757,18.843,17.901,21.672,22.592,20.000,21.353,20.879,21.813,21.798,21.056,23.203,24.662,21.223,22.188,23.731,20.300,25.420,22.122,19.931,19.588,20.784,19.836,20.097,19.646,17.956,18.177,18.915
575,20.691,18.841,18.021,21.461,22.630,19.944,21.330,20.726,21.934,21.701,20.847,22.848,24.893,21.144,22.091,23.628,20.185,25.764,22.118,19.842,19.443,20.787,19.927,20.045,19.504,17.829,18.216,18.855
576,20.595,18.747,17.899,21.344,22.699,20.023,21.402,20.744,22.088,21.506,20.726,22.577,24.759,21.161,21.967,23.700,20.082,24.987,22.072,19.906,19.372,21.008,19.749,19.882,19.415,17.810,18.119,18.847
577,20.297,18.814,17.996,21.235,22.478,19.815,21.228,20.535,21.775,21.334,20.540,22.328,24.342,21.140,21.934,23.778,19.826,24.017,21.800,19.835,19.311,20.659,19.808,19.825,19.394,17.815,18.154,18.749
578,20.188,18.773,17.944,21.045,22.655,19.842,21.230,20.527,21.726,21.539,20.652,22.239,24.265,21.192,21.661,23.666,19.714,23.488,21.843,19.740,19.272,20.710,19.777,19.756,19.498,17.890,18.233,18.755
579,20.070,18.660,17.905,20.844,22.671,19.710,21.140,20.623,21.825,21.579,20.484,21.993,24.447,21.069,21.789,23.590,19.602,23.028,21.781,19.831,19.426,20.583,19.796,19.787,19.485,17.842,18.153,18.817
580,20.335,18.596,18.101,20.720,22.620,19.671,21.224,20.520,21.734,21.239,20.324,22.115,24.032,21.157,21.634,23.680,19.561,22.594,21.776,19.598,19.393,20.464,19.682,19.694,19.269,17.862,18.151,18.689
581,20.033,18.454,17.890,20.730,22.532,19.521,21.219,20.509,21.738,21.067,20.537,21.968,23.936,21.218,21.587,23.613,19.641,22.240,21.673,19.846,19.384,20.425,19.663,19.783,19.156,17.849,18.022,18.720
582,19.889,18.468,17.791,20.679,22.665,19.544,21.105,20.417,21.732,21.234,20.454,21.937,23.895,21.122,21.709,23.596,19.732,22.038,21.757,19.821,19.316,20.418,19.729,19.604,19.242,17.817,18.061,18.718
