 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
97,214.577,160.140,144.391,138.776,163.326,162.830,152.379,157.321,163.790,143.258,141.807,193.279,146.773,204.276,180.199,139.237,172.631,152.675,156.609,129.987,128.791,158.096,95.675
98,215.390,158.183,146.220,138.190,163.250,160.484,153.891,159.725,166.705,143.288,137.395,188.097,144.848,204.798,180.030,138.487,171.283,154.057,156.696,129.537,129.233,160.567,92.529
99,213.943,157.331,148.385,137.168,162.044,160.179,154.814,160.804,162.094,148.779,142.141,189.615,146.905,207.344,181.611,140.942,169.551,150.618,156.685,130.592,129.042,161.479,96.557
100,215.253,157.044,147.414,136.503,166.186,160.749,153.821,164.169,167.035,146.712,138.102,190.601,148.104,204.531,177.624,139.084,174.369,152.283,156.515,130.599,129.762,159.221,93.509
101,214.898,159.039,152.619,138.216,163.498,164.348,155.618,160.824,165.187,148.310,143.434,188.256,143.502,204.703,180.560,138.653,174.144,153.696,156.566,131.625,131.314,155.174,97.415
102,212.542,158.078,145.696,134.937,164.472,161.978,156.329,158.708,164.622,146.434,145.059,191.580,152.919,206.635,182.547,143.334,172.662,151.978,155.130,131.472,129.710,158.314,93.159
103,214.726,157.242,147.993,137.988,160.146,165.437,153.334,159.246,163.486,146.692,139.156,191.031,149.306,206.365,179.895,138.636,173.987,153.213,157.022,130.493,128.802,157.868,94.152
104,212.785,155.873,149.321,135.039,162.756,161.935,154.644,159.809,163.218,152.261,140.366,188.214,149.088,206.614,176.784,140.734,170.970,150.006,157.067,132.148,130.302,158.519,95.789
105,213.669,157.218,145.343,135.245,162.404,159.307,154.590,160.262,163.503,144.623,140.620,189.908,146.187,206.163,178.827,139.805,171.793,150.554,156.249,129.133,126.806,156.758,96.024
106,212.511,153.425,147.757,138.752,162.719,164.307,155.289,158.804,163.283,146.921,141.307,191.901,148.777,209.113,176.546,140.448,171.696,153.014,156.998,136.691,135.468,157.601,93.606
107,216.685,156.922,145.181,134.779,161.305,164.426,154.407,161.802,162.609,144.270,141.159,185.527,148.012,205.154,176.783,139.312,172.971,150.096,156.707,130.283,129.408,157.374,95.055
108,213.634,157.456,144.450,138.927,163.658,159.538,153.554,160.752,164.243,148.231,139.710,190.782,148.491,202.941,179.158,141.597,172.285,149.111,155.167,131.623,131.579,154.085,96.571
109,211.745,157.857,147.228,136.124,164.742,158.292,155.275,160.323,164.152,144.643,138.834,190.408,144.000,206.098,179.254,136.737,173.416,151.064,156.501,131.177,129.074,160.519,96.035
110,214.804,158.455,148.361,139.410,161.024,158.336,150.045,160.807,168.817,147.337,141.237,191.992,142.462,206.733,179.970,143.156,173.798,150.863,157.476,131.953,129.725,156.903,99.516
111,212.161,155.057,148.907,135.969,162.992,162.614,152.881,161.328,164.306,146.400,139.366,190.985,148.095,207.522,175.162,136.094,170.245,148.589,155.153,132.343,131.922,156.471,92.422
112,212.549,157.302,149.502,138.180,165.421,162.043,155.393,160.683,159.923,147.045,142.680,189.021,149.118,203.807,176.936,146.253,171.433,149.791,156.832,132.647,131.286,156.472,93.554
113,212.466,157.571,146.570,138.888,160.630,159.412,155.234,161.064,161.657,148.873,136.607,190.031,147.555,207.715,176.115,141.922,176.473,152.607,157.523,133.175,131.919,158.060,94.969
114,211.950,158.195,149.048,137.670,163.136,161.868,156.468,160.561,163.108,146.551,137.400,188.664,148.618,209.481,175.993,138.438,172.340,150.454,158.678,131.011,129.995,155.925,95.128
115,213.196,155.258,147.453,136.435,162.032,160.348,153.591,163.335,160.988,147.429,142.524,190.271,147.948,201.902,179.163,137.841,171.232,152.395,156.379,129.752,129.661,157.478,95.035
116,212.823,157.118,151.732,136.842,163.465,162.928,151.187,159.417,162.522,144.603,140.041,187.023,144.929,208.122,176.551,139.279,170.293,152.188,156.368,132.187,131.130,156.501,91.913
117,212.386,157.555,148.472,137.065,163.036,160.830,151.961,161.316,163.715,145.864,140.868,189.569,148.341,206.605,176.868,136.179,171.625,149.127,157.610,130.355,129.426,157.915,91.540
118,213.523,158.456,151.904,137.575,160.468,161.513,152.298,158.230,159.624,149.975,140.824,185.584,146.618,206.525,178.880,141.961,174.433,150.623,157.943,131.913,131.574,158.546,94.571
119,209.643,159.610,146.655,136.138,162.213,156.691,152.871,163.221,163.703,143.844,139.563,188.668,144.718,210.763,178.881,142.432,174.489,150.033,157.943,131.180,130.198,159.308,95.121
120,214.043,155.112,148.928,138.435,163.623,157.865,153.466,158.720,165.374,148.241,143.090,185.989,147.083,205.754,175.673,139.903,174.053,149.876,157.073,130.745,130.493,158.851,93.415
121,211.090,157.211,146.435,138.537,163.320,162.022,153.214,160.683,163.449,146.439,139.722,188.691,147.919,202.424,178.818,140.532,174.230,152.213,156.819,135.412,133.694,160.229,92.962
122,209.841,155.890,150.736,136.031,161.452,160.912,155.761,163.118,164.563,148.315,140.373,188.903,146.562,210.086,177.594,140.166,171.312,150.441,157.675,132.083,131.756,158.686,93.277
123,210.005,153.789,148.436,140.304,161.590,159.838,152.470,158.941,161.387,147.613,136.485,191.905,147.706,207.795,176.754,137.403,172.608,149.132,156.993,132.068,130.094,157.346,93.436
124,211.142,154.912,147.006,138.492,160.561,160.762,151.814,159.360,161.087,149.610,139.268,187.443,147.251,208.436,177.919,136.286,169.243,150.916,157.445,130.559,129.922,157.847,95.087
125,209.645,153.326,148.808,135.786,159.440,162.117,154.204,160.690,159.553,147.347,140.166,188.882,145.794,205.540,179.754,134.549,172.890,150.396,158.829,131.703,131.414,157.887,93.529
126,211.260,156.606,148.388,138.221,162.119,159.260,150.254,158.458,162.108,150.027,135.624,190.046,146.775,209.113,178.273,143.185,168.844,148.027,154.042,132.112,131.598,156.553,96.696
127,212.473,157.493,148.235,138.231,162.081,163.375,153.590,160.394,161.723,146.104,139.483,185.905,149.306,204.368,176.518,140.243,172.688,152.158,155.437,130.691,129.159,158.822,91.298
128,210.879,156.451,148.556,139.554,160.276,160.816,154.064,162.330,162.326,146.891,140.998,189.485,145.145,206.703,179.857,141.838,170.990,152.283,158.522,131.091,130.638,157.183,93.561
129,212.834,156.773,145.609,136.930,161.253,158.839,152.225,159.349,160.087,144.107,138.134,189.298,146.069,206.674,176.456,135.753,171.956,148.145,157.310,130.111,129.939,159.894,95.709
130,209.182,156.243,148.063,140.354,162.452,161.361,151.424,161.381,162.019,144.980,136.388,188.185,147.957,199.772,178.330,141.026,171.154,148.019,158.744,131.767,130.833,157.613,95.052
131,213.707,156.148,147.204,137.088,160.899,161.191,154.640,161.127,161.262,143.854,137.217,187.164,146.595,206.270,177.421,139.945,170.532,149.893,156.508,132.361,131.757,159.832,90.927
132,212.042,158.243,146.553,137.073,161.956,162.280,153.346,157.770,161.848,146.119,137.990,189.979,145.270,201.932,177.692,141.760,174.403,151.833,156.307,131.632,130.090,159.004,94.536
133,210.206,156.838,148.126,132.716,158.579,161.368,151.396,159.128,162.283,148.186,141.020,190.611,145.261,206.953,177.002,138.049,174.779,150.025,156.652,131.007,130.622,156.946,89.651
134,208.799,154.666,144.940,139.417,159.208,161.217,153.956,161.324,160.501,145.945,142.498,186.920,144.422,205.350,179.053,138.890,170.053,148.409,157.838,132.439,131.293,158.178,88.962
135,212.265,155.481,147.621,137.628,166.149,160.888,155.087,157.275,164.505,153.337,137.344,185.334,146.640,204.258,178.553,139.133,168.711,149.091,156.757,129.083,128.405,158.050,91.651
136,210.827,156.898,150.384,135.767,163.719,161.181,150.799,159.929,161.087,146.290,137.334,189.275,145.457,207.071,176.985,142.649,170.144,149.119,154.143,130.496,129.964,160.481,91.913
137,207.357,154.438,147.283,138.145,161.890,162.921,150.479,161.520,157.557,147.025,137.954,187.206,148.476,202.359,174.962,137.429,171.684,148.091,154.870,127.557,126.935,158.864,92.173
138,215.780,181.776,151.234,146.469,182.256,173.220,159.094,174.123,173.761,164.663,137.946,193.637,150.220,207.481,177.995,141.166,173.840,155.709,160.702,135.091,133.372,162.746,91.644
139,209.293,190.539,154.274,136.306,185.798,182.958,152.975,171.121,191.437,180.814,127.800,193.246,147.687,200.525,165.953,137.130,156.797,144.126,151.354,124.468,123.177,155.046,86.882
140,212.717,200.396,168.087,138.134,190.273,190.004,155.223,176.683,211.129,195.519,142.927,194.737,153.564,207.472,164.546,145.039,157.935,143.613,156.383,124.285,121.650,159.199,84.993
141,210.976,205.461,173.069,156.262,191.919,189.067,163.136,173.848,210.857,200.576,152.754,197.834,163.564,210.383,165.450,140.409,156.099,146.591,155.616,127.225,125.147,161.417,89.336
142,211.184,205.274,171.891,153.697,187.023,179.675,169.256,163.298,210.622,195.648,156.571,195.061,162.351,206.329,163.767,140.523,160.236,144.048,153.089,127.236,125.632,161.985,82.626
143,209.497,200.182,166.774,159.364,180.751,171.780,172.406,163.781,210.360,194.548,158.263,194.510,164.652,202.119,161.535,141.448,157.660,147.414,151.459,129.829,128.410,163.692,84.311
144,209.003,201.200,164.567,155.389,178.566,167.527,175.816,157.709,208.809,191.060,165.346,190.691,157.775,202.638,163.944,138.490,157.542,148.406,150.958,126.679,124.540,159.503,83.813
145,207.289,198.037,164.837,153.396,179.139,160.866,175.630,153.822,205.245,187.139,157.098,194.166,155.488,195.552,161.871,133.542,157.287,148.667,149.044,128.779,126.424,162.510,85.080
