 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46
318,21.709,23.678,18.869,23.660,21.073,20.647,19.946,19.544,21.728,19.308,18.975,20.017,17.767,19.337,33.200,38.897,37.257,19.837,17.321,21.188,39.899,40.765,26.774,28.712,47.397,42.701,26.343,39.644,38.978,48.494,78.883,37.429,22.354,23.780,23.074,24.291,27.199,25.418,24.957,25.614,24.946,24.103,21.847,20.970,21.821,22.378
319,21.582,23.470,18.920,23.618,21.034,20.401,19.968,19.720,21.579,19.091,18.920,19.927,17.799,19.431,33.332,39.196,36.780,19.787,17.144,20.798,38.674,41.265,26.636,28.764,46.808,42.159,26.026,38.486,38.541,46.470,76.058,35.826,22.257,23.842,22.639,24.103,27.010,25.314,24.657,25.377,24.890,24.278,21.963,20.820,21.777,22.489
320,21.647,23.667,18.793,23.562,21.030,20.460,19.913,19.521,21.621,19.094,19.069,19.905,17.799,19.490,33.386,38.409,36.967,19.648,17.174,20.460,37.634,40.969,26.727,28.777,45.491,40.967,25.963,37.615,38.245,44.871,72.965,34.571,22.264,23.773,22.432,23.930,27.040,25.379,24.566,25.725,25.102,23.897,21.714,20.842,21.777,22.473
321,21.515,23.320,18.828,23.743,21.054,20.490,19.888,19.835,21.613,19.187,19.146,19.914,17.830,19.533,33.386,37.535,36.694,19.760,17.205,20.429,36.540,40.170,26.750,28.585,44.856,40.489,26.347,36.916,37.695,43.670,70.027,33.288,22.036,23.560,22.621,23.903,26.790,25.281,24.248,25.492,24.984,24.095,21.792,20.870,21.683,22.415
322,21.639,23.342,18.746,23.773,21.053,20.376,19.904,19.787,21.642,19.199,18.942,19.951,17.756,19.446,33.364,36.411,36.718,19.702,17.120,20.317,35.834,39.571,26.458,28.722,44.104,39.780,26.067,36.074,37.486,42.282,67.864,32.117,22.104,23.444,22.749,23.957,26.868,25.373,24.093,25.601,24.943,23.873,21.720,20.861,21.796,22.417
323,21.706,23.427,18.717,23.738,21.012,20.515,19.804,19.794,21.524,18.900,19.030,19.952,17.839,19.383,32.832,35.961,36.824,19.656,17.143,20.038,35.422,39.151,26.419,28.592,43.589,39.747,25.690,35.246,37.274,41.695,65.718,31.255,22.161,23.649,22.341,23.956,27.619,25.354,23.813,25.477,24.860,23.940,21.665,20.735,21.645,22.393
324,21.595,23.411,18.802,23.678,21.085,20.285,19.857,19.588,21.558,19.215,18.956,19.905,17.751,19.547,32.943,35.519,36.596,19.695,17.154,19.941,34.706,38.540,26.540,28.820,43.363,39.074,26.146,34.750,37.177,40.944,63.332,30.483,22.075,23.526,22.224,23.944,27.421,25.470,23.836,25.575,24.888,24.079,21.904,20.699,21.762,22.292
325,21.508,23.507,18.808,23.954,21.037,20.362,19.930,19.618,21.582,19.041,18.802,19.913,17.714,19.440,32.846,35.123,36.951,19.719,17.126,19.882,34.018,38.427,26.471,28.610,43.093,38.849,26.175,34.190,36.839,40.253,61.521,29.669,22.039,23.462,22.359,23.964,27.089,25.323,23.884,25.517,24.932,24.282,21.835,20.685,21.693,22.331
326,21.569,23.459,18.771,23.812,20.986,20.419,19.966,19.716,21.479,19.199,18.865,19.888,17.802,19.296,33.546,34.746,37.351,19.714,17.196,19.990,33.773,37.973,26.500,28.601,42.203,38.651,26.235,33.481,36.789,39.433,59.612,28.928,22.218,23.375,22.289,24.084,26.867,25.295,23.927,25.485,24.915,23.873,21.486,20.737,21.726,22.393
327,21.342,23.525,18.690,23.602,20.960,20.310,19.890,19.570,21.542,19.135,18.879,19.862,17.784,19.490,33.679,33.966,36.788,19.687,17.033,19.969,33.143,37.829,26.513,28.447,42.581,38.418,25.922,32.970,36.753,38.905,58.151,28.640,22.239,23.563,21.982,24.116,26.801,25.287,23.843,25.508,24.939,23.984,21.778,20.356,21.463,22.437
328,21.444,23.347,18.730,23.630,21.019,20.308,19.878,19.698,21.565,19.082,18.997,19.834,17.821,19.365,33.621,33.733,36.706,19.637,17.152,20.045,32.894,37.791,26.409,28.743,42.160,38.376,26.134,32.676,36.546,38.364,56.736,28.221,22.250,23.543,22.391,23.950,27.657,25.303,23.682,25.656,24.830,23.940,21.714,20.541,21.565,22.259
329,21.438,23.486,18.762,23.637,21.014,20.437,20.047,19.794,21.530,19.066,19.030,19.740,17.793,19.398,33.346,33.561,36.829,19.667,17.054,19.972,32.515,37.421,26.549,28.545,42.085,38.027,26.022,32.299,36.544,38.007,54.681,27.740,22.125,23.405,22.152,23.867,27.559,25.326,23.542,25.669,25.126,24.103,21.839,20.571,21.583,22.298
330,21.531,23.352,18.862,23.801,20.932,20.385,19.842,19.653,21.529,19.082,19.050,19.935,17.698,19.490,33.046,33.784,36.727,19.648,17.115,19.948,32.469,37.497,26.561,28.709,41.963,39.643,26.067,31.967,36.236,37.711,52.854,27.679,22.182,23.444,21.955,23.956,27.342,25.320,23.599,25.639,24.989,23.849,21.686,20.630,21.570,22.522
331,21.511,23.384,18.815,23.718,20.962,20.376,19.980,19.605,21.529,19.155,19.000,19.840,17.762,19.357,32.868,34.087,36.812,19.723,17.073,19.875,32.238,37.289,26.552,28.618,41.627,39.720,26.157,31.550,36.233,37.242,51.494,27.490,22.171,23.758,22.135,23.921,27.119,25.382,23.555,25.425,25.049,23.913,21.890,20.482,21.496,22.340
332,21.462,23.384,18.855,23.838,20.831,20.508,20.011,19.701,21.545,19.153,18.970,19.958,17.853,19.344,33.429,33.917,36.780,19.609,17.017,20.017,31.802,37.148,26.477,28.514,41.733,39.033,26.261,31.441,36.161,36.754,50.430,27.210,21.982,23.447,22.356,23.887,26.815,25.243,23.512,25.410,24.872,24.024,21.890,20.505,21.544,22.199
333,21.492,23.516,18.742,23.537,21.026,20.378,19.976,19.592,21.534,19.112,18.975,19.831,17.802,19.390,33.171,33.687,36.788,19.637,17.101,19.990,31.779,36.936,26.510,28.552,41.496,38.239,26.179,31.085,36.106,36.673,49.260,27.112,22.071,23.533,22.060,23.870,26.604,25.377,23.400,25.435,24.912,23.802,21.808,20.429,21.442,22.312
334,21.436,23.368,18.764,23.715,20.909,20.433,19.973,19.666,21.542,19.212,18.961,19.921,17.795,19.242,34.096,33.427,36.910,19.636,17.098,19.843,31.756,36.923,26.372,28.611,41.416,38.157,26.022,31.000,35.669,36.522,48.357,26.810,22.018,23.375,22.044,23.954,26.710,25.377,23.549,25.561,24.830,23.853,21.731,20.315,21.509,22.381
335,21.384,23.365,18.619,23.569,21.003,20.517,19.937,19.603,21.530,19.073,18.895,19.880,17.786,19.496,33.736,33.201,36.682,19.738,17.208,19.774,31.490,36.906,26.416,28.513,40.952,38.025,25.925,30.651,35.719,36.312,47.490,26.850,22.168,23.407,22.179,23.874,27.314,25.340,23.575,25.734,24.970,23.948,21.814,20.251,21.634,22.470
336,21.369,23.475,18.775,23.773,20.999,20.515,19.956,19.750,21.505,19.235,18.691,19.794,17.778,19.360,33.314,32.948,36.894,19.676,17.075,19.944,31.369,37.009,26.577,28.604,40.979,37.643,26.007,30.571,36.168,36.169,46.667,26.579,22.189,23.494,22.168,23.973,27.255,25.373,23.473,25.459,25.098,24.171,21.767,20.594,21.657,22.301
337,21.461,23.205,18.722,23.771,20.984,20.419,19.828,19.681,21.596,19.189,18.895,19.790,17.848,19.422,33.093,32.615,37.098,19.601,17.023,19.885,31.321,36.830,26.463,28.414,45.683,37.591,26.280,30.313,35.651,35.819,49.239,26.805,21.989,23.521,22.418,24.055,27.309,27.287,23.719,25.404,24.791,23.877,21.667,20.466,21.588,22.274
338,21.415,23.379,18.802,23.773,20.987,20.615,19.911,19.701,21.398,19.148,18.882,19.936,17.736,19.531,33.061,32.481,36.894,19.655,16.977,19.983,31.245,36.661,26.413,28.625,45.336,37.341,26.168,30.223,35.575,35.600,53.296,26.828,22.061,23.333,22.427,24.043,27.130,26.675,23.548,25.404,24.880,23.841,21.508,20.402,21.530,22.423
339,21.553,23.336,18.721,23.910,21.002,20.294,19.817,19.750,21.380,19.189,18.793,19.946,17.826,19.403,33.071,32.435,36.388,19.682,17.040,19.864,31.184,36.847,26.494,28.570,43.843,36.942,26.015,30.116,35.728,35.610,51.643,26.609,22.182,23.467,22.174,23.930,26.771,25.937,23.375,25.439,24.980,24.087,21.678,20.420,21.609,22.478
340,21.401,23.411,18.942,23.799,21.088,20.592,19.865,19.698,21.471,19.105,18.821,19.952,17.846,19.398,32.875,32.390,36.706,19.621,16.980,19.965,31.073,36.670,26.411,28.555,42.947,37.170,25.940,30.087,35.551,35.025,49.883,26.633,22.143,23.457,22.105,23.715,26.828,25.749,23.297,25.621,24.909,23.980,21.790,20.388,21.621,22.284
341,21.372,23.406,18.849,23.688,21.027,20.326,19.915,19.772,21.394,19.208,18.832,19.849,17.777,19.488,32.850,32.005,36.820,19.727,16.880,19.822,30.815,36.555,26.396,28.677,42.419,37.266,25.940,30.035,35.577,34.975,48.275,26.486,21.968,23.370,22.304,23.959,27.349,25.459,23.616,25.514,24.805,24.278,21.706,20.413,21.614,22.359
342,21.405,23.507,18.782,23.981,20.974,20.390,19.779,19.753,21.354,19.240,18.939,19.859,17.670,19.480,33.161,31.912,36.608,19.664,16.925,19.857,30.927,36.674,26.401,28.665,41.872,39.115,26.063,29.872,35.097,35.230,46.920,26.264,22.086,23.501,21.893,23.913,27.358,25.608,23.509,25.370,24.951,23.901,21.796,20.447,21.675,22.317
343,21.329,23.441,18.808,23.701,20.844,20.339,19.888,19.542,21.521,19.130,19.017,19.782,17.762,19.485,33.582,31.917,36.543,19.673,16.885,19.913,30.833,36.651,26.327,28.538,41.501,38.654,25.854,29.817,35.463,34.691,46.053,26.421,22.104,23.440,21.896,23.870,27.034,25.326,23.487,25.575,24.849,24.067,21.822,20.384,21.553,22.307
344,21.492,23.311,18.760,23.829,20.926,20.592,19.890,19.733,21.536,19.153,18.777,19.843,17.760,19.433,34.300,31.989,36.690,19.733,17.079,19.889,30.738,36.713,26.363,28.482,41.616,38.269,25.933,29.669,35.347,34.811,44.799,25.998,22.136,23.296,21.792,23.913,26.720,25.531,23.372,25.648,24.929,24.119,21.741,20.612,21.586,22.334
345,21.420,23.048,18.695,23.882,20.997,20.358,19.845,19.783,21.569,19.162,18.868,19.970,17.705,19.460,33.921,31.845,36.714,19.604,16.935,19.784,30.615,36.519,26.483,28.468,41.325,37.802,25.836,29.616,35.436,34.788,43.929,26.305,21.925,23.254,22.146,23.899,26.867,25.413,23.330,25.438,24.803,24.262,21.702,20.358,21.640,22.337
