 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
1538,13.747,15.474,14.193,9.158,10.079,14.100,11.656,12.441,15.402,14.034,11.966,8.025,11.204,12.626,9.226,8.506,12.827,11.237,9.225,10.694,9.104,10.087,9.441
1539,13.628,15.504,14.049,9.180,10.150,14.163,11.663,12.507,15.547,14.034,11.968,8.008,11.173,12.648,9.187,8.590,12.869,11.199,9.114,10.704,9.004,10.055,9.426
1540,13.723,15.423,14.039,9.208,10.186,13.941,11.753,12.554,15.366,14.087,12.024,8.068,11.243,12.569,9.195,8.528,12.844,11.167,9.104,10.806,9.086,10.150,9.556
1541,14.906,16.581,13.993,9.232,10.277,13.986,12.401,13.312,16.660,14.985,11.984,8.425,11.561,12.862,9.293,8.607,12.962,11.456,9.410,11.475,9.665,10.242,9.500
1542,20.505,19.859,14.518,9.293,11.427,15.651,14.895,15.937,20.611,16.858,12.139,9.157,12.800,13.698,9.370,8.537,13.590,12.347,10.200,12.812,11.581,10.211,9.842
1543,18.253,18.153,14.234,9.190,10.802,14.540,13.102,14.288,18.532,15.296,11.911,8.656,12.024,13.036,9.183,8.573,13.057,11.434,9.607,11.812,10.477,10.292,9.737
1544,16.450,16.946,14.133,9.253,10.439,14.249,12.175,13.378,16.977,14.630,11.950,8.297,11.545,12.857,9.122,8.517,12.970,11.276,9.343,11.172,9.585,10.139,9.647
1545,15.343,16.242,14.125,9.158,10.170,14.180,11.858,12.920,16.370,14.156,11.953,8.108,11.439,12.650,9.224,8.562,12.800,11.258,9.173,10.796,9.404,10.163,9.585
1546,14.921,16.008,14.077,9.190,10.123,14.149,11.865,12.710,15.866,14.034,11.987,8.023,11.357,12.707,9.175,8.480,12.728,11.286,9.163,10.901,9.195,10.134,9.531
1547,14.530,15.792,14.007,9.183,10.059,14.131,11.708,12.593,15.706,14.205,11.924,8.017,11.302,12.636,9.177,8.551,12.789,11.231,9.104,10.768,9.104,10.113,9.614
1548,14.209,15.633,13.993,9.196,10.138,14.107,11.643,12.468,15.589,13.962,11.876,8.019,11.196,12.567,9.167,8.435,12.794,11.219,9.119,10.726,9.142,10.189,9.592
