 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46
733,160.571,102.585,60.880,75.601,63.708,72.960,66.990,127.020,110.235,105.086,166.791,69.848,92.729,70.691,82.338,96.116,107.208,68.658,78.128,107.143,72.692,116.923,87.652,91.725,103.904,73.521,93.011,97.026,72.649,67.624,77.200,65.898,65.211,69.810,93.109,82.030,81.355,84.887,83.825,72.333,78.455,88.236,80.611,87.459,71.627,79.253
734,159.274,102.155,61.179,76.817,64.036,73.463,67.521,126.808,109.836,103.980,166.838,70.103,92.839,71.121,82.271,96.173,106.740,68.083,77.552,106.002,72.923,116.909,88.929,91.450,103.840,73.277,94.016,97.556,72.385,66.786,77.203,65.720,64.406,70.513,93.689,84.150,81.701,83.239,83.871,72.383,78.605,86.906,80.153,86.678,70.647,79.955
735,161.380,104.373,61.241,75.990,63.690,73.234,66.940,126.170,111.270,104.957,167.256,70.175,92.578,70.981,82.757,95.987,107.161,67.975,78.084,106.922,72.374,116.499,88.752,91.504,104.039,73.298,93.527,96.940,72.966,66.772,76.948,66.133,65.175,70.431,93.790,82.083,81.554,84.399,83.423,73.199,79.014,85.850,80.366,86.481,70.879,78.464
736,161.162,102.147,61.007,76.196,64.372,73.820,66.935,126.354,111.347,105.462,165.906,69.797,91.550,72.234,82.846,96.147,105.049,68.162,77.775,107.013,72.780,116.506,89.024,91.602,104.747,73.720,93.030,97.748,72.579,67.184,77.244,65.824,64.672,69.670,94.453,81.376,81.652,84.784,84.278,73.390,78.925,86.897,81.037,87.385,70.997,79.064
737,160.250,103.627,60.621,75.951,63.901,73.220,67.020,126.334,111.830,105.011,167.504,70.284,91.957,71.420,82.475,95.846,107.500,67.988,77.600,106.256,73.401,116.349,88.378,91.731,104.958,72.914,92.268,98.132,72.652,67.023,76.907,65.946,65.357,70.292,93.410,81.218,80.869,83.986,83.982,72.823,78.942,87.167,80.671,87.899,70.761,79.249
738,160.624,103.211,60.803,76.012,64.054,73.139,66.838,126.620,111.441,105.743,167.170,70.882,93.206,71.664,82.472,95.716,106.828,68.046,78.101,106.027,72.901,116.869,89.376,91.512,105.205,72.869,93.192,96.821,72.986,66.981,76.822,66.200,65.455,70.002,93.478,81.496,80.616,83.901,82.897,72.227,78.331,86.528,80.692,87.303,71.418,78.992
739,159.654,102.305,60.982,76.362,63.579,73.061,67.032,127.078,111.084,105.119,167.162,70.369,92.450,71.807,82.075,95.935,106.336,69.287,77.592,106.201,73.077,116.037,88.557,92.408,104.416,73.882,93.619,95.887,73.009,67.254,76.910,66.093,65.171,69.933,94.281,80.511,81.561,84.385,83.637,72.596,79.533,88.828,81.118,86.671,70.330,79.185
740,159.968,102.482,60.744,76.403,63.443,73.344,67.060,126.967,111.839,104.498,166.227,70.260,92.420,71.394,82.885,95.493,107.044,68.058,77.752,106.136,72.962,116.354,88.587,91.662,105.148,73.178,93.614,98.119,72.674,67.121,76.997,65.589,64.829,70.422,93.089,82.286,80.541,84.826,83.343,72.433,78.199,85.914,80.519,86.966,69.912,79.479
741,161.278,102.147,60.593,75.638,63.953,72.791,67.160,126.684,110.604,105.302,167.391,69.792,92.256,70.913,82.804,95.083,106.473,68.217,78.278,105.642,72.588,117.056,89.331,92.292,105.190,72.995,93.154,98.252,73.143,67.340,76.932,66.522,65.000,70.404,94.339,82.060,81.009,84.746,83.871,71.340,78.939,87.155,81.066,87.260,70.458,79.472
742,161.182,102.717,61.420,75.795,64.391,73.472,67.274,126.157,112.068,105.128,167.094,69.597,92.899,71.522,82.612,96.021,106.858,68.208,77.880,106.784,72.275,115.949,89.598,91.723,105.373,72.589,93.722,96.245,72.690,67.133,77.071,65.335,65.137,70.504,93.823,82.459,80.723,84.272,83.732,70.943,78.170,87.412,80.205,86.901,70.484,79.192
