 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28
1221,28.926,38.159,30.820,23.696,26.867,35.033,49.972,39.117,39.458,24.582,38.254,34.793,30.037,34.258,34.323,33.806,34.712,34.043,29.400,27.786,36.934,34.600,32.352,32.103,32.894,47.482,33.963,53.014
1222,29.117,38.524,30.893,23.759,26.841,34.458,49.574,39.235,38.599,24.629,38.138,34.801,29.956,34.353,34.458,33.955,33.272,32.640,27.755,27.359,37.227,34.835,32.182,31.894,32.672,47.489,34.153,52.667
1223,28.985,38.201,31.074,23.852,26.889,34.686,49.833,39.227,39.206,24.680,38.165,34.788,30.085,34.405,34.361,33.402,33.776,31.937,26.320,27.492,37.246,34.480,32.268,31.781,32.812,47.183,34.547,52.673
1224,28.969,37.950,30.809,23.892,26.783,34.996,49.634,39.068,39.382,24.672,38.249,34.818,29.713,34.071,34.527,34.027,32.663,30.735,25.918,27.536,37.009,34.408,32.292,31.584,32.691,47.319,33.967,52.830
1225,28.906,38.277,30.926,23.746,26.791,34.556,49.745,39.088,39.200,24.592,37.967,34.813,29.725,34.129,34.537,33.479,31.268,29.822,25.280,27.047,36.797,34.419,32.174,31.485,32.490,47.596,34.160,52.646
1226,28.947,37.922,30.897,23.886,26.946,34.617,49.921,39.280,39.283,24.773,38.290,34.657,29.968,34.261,34.440,33.226,30.313,28.964,24.750,27.029,37.006,34.713,32.138,31.500,32.606,47.161,34.010,52.723
1227,29.142,37.990,30.610,23.720,26.778,34.688,49.632,38.990,39.169,24.719,37.955,34.550,29.729,34.171,34.501,33.774,29.598,28.579,24.532,27.182,36.657,34.226,32.170,31.761,32.359,47.493,33.423,52.903
1228,29.051,38.161,30.904,23.759,26.787,34.756,49.679,38.920,39.239,24.684,37.850,34.829,29.690,34.282,34.413,33.221,28.891,27.968,24.000,27.201,37.197,34.431,32.068,32.022,32.563,47.557,33.913,52.780
1229,29.382,37.941,30.801,23.720,26.820,34.699,49.767,39.149,38.993,24.684,38.485,34.488,29.695,34.289,34.250,33.457,28.444,27.312,24.177,27.154,37.021,34.721,32.110,31.502,32.346,47.172,34.177,52.378
1230,29.257,37.971,30.776,23.675,26.859,34.603,49.833,39.266,38.805,24.658,38.494,34.678,29.862,34.084,34.499,33.742,27.995,27.069,24.098,26.974,37.415,34.412,32.315,31.690,32.547,46.929,33.900,52.386
1231,28.807,38.057,30.798,23.770,26.869,34.641,49.507,39.155,39.037,24.584,38.120,34.570,29.651,34.268,34.316,33.481,27.673,26.569,24.105,27.076,36.951,34.262,32.156,31.793,32.248,47.243,33.883,53.095
1232,29.036,38.107,31.169,23.579,26.870,34.789,49.355,39.227,38.814,24.463,38.317,34.726,29.734,34.411,34.516,33.840,27.348,26.136,23.977,27.115,37.021,34.385,32.115,31.776,32.680,47.275,34.117,52.879
1233,29.033,37.920,30.827,23.680,26.652,34.734,49.704,39.247,39.309,24.586,38.168,34.483,29.876,34.305,34.404,33.559,26.760,25.704,23.636,27.000,36.902,34.287,32.174,31.601,32.674,47.479,33.680,52.808
1234,29.303,38.092,30.393,23.701,26.865,34.730,49.734,39.229,39.241,24.686,38.105,34.926,29.482,34.200,34.492,33.551,26.340,25.387,23.475,27.193,37.069,34.343,32.222,31.601,32.423,47.378,34.323,53.103
1235,29.140,38.491,30.581,23.693,26.813,34.625,49.621,39.153,39.103,24.703,38.024,34.568,29.748,34.082,34.249,33.590,26.171,25.095,23.714,27.029,37.308,34.446,32.287,31.643,32.630,47.422,33.867,52.547
1236,29.244,38.067,30.824,23.762,26.680,34.621,49.758,39.307,39.224,24.514,38.030,34.578,30.062,34.503,34.461,33.888,25.992,24.787,23.616,27.216,36.895,34.658,32.068,31.756,32.498,47.252,33.860,52.556
1237,29.000,38.023,30.309,23.886,26.781,34.662,49.221,39.055,39.493,24.619,37.793,34.703,29.683,34.200,34.468,33.418,25.760,24.824,23.725,27.062,37.107,34.463,31.919,31.601,32.371,47.505,34.167,52.844
1238,29.254,38.195,30.548,23.791,26.880,34.608,49.867,39.391,39.208,24.584,37.946,34.969,29.638,34.105,34.375,33.346,25.436,24.684,23.616,26.990,36.655,34.283,32.044,31.813,32.314,47.606,34.403,52.634
1239,29.359,38.243,30.658,23.746,26.920,34.462,49.707,39.597,39.173,24.557,38.123,34.596,29.557,34.295,34.192,33.577,25.236,24.397,23.691,26.982,36.906,34.017,32.292,31.645,32.371,47.771,33.963,52.776
1240,29.041,38.184,30.779,23.807,26.770,34.649,49.559,39.155,39.079,24.375,38.219,34.665,29.690,34.503,34.518,33.660,26.123,24.370,23.648,27.297,36.724,34.290,31.935,31.530,32.087,47.381,34.350,52.796
1241,28.929,38.119,30.857,23.810,26.885,34.758,49.957,39.303,39.024,24.744,37.527,34.161,29.780,34.613,34.406,33.495,28.966,24.348,23.786,27.396,36.685,34.340,32.133,31.554,32.384,47.206,34.090,53.008
1242,28.878,37.958,30.765,23.611,26.989,34.800,49.623,39.221,39.024,24.580,37.743,34.289,29.649,34.411,34.250,33.455,28.051,24.030,23.668,27.263,36.687,34.526,32.130,31.276,32.289,47.303,33.597,52.493
1243,29.127,38.082,30.610,23.794,26.978,34.834,49.366,38.961,38.862,24.641,37.943,34.422,29.644,34.234,34.401,33.527,27.320,23.984,23.675,27.422,36.904,34.273,32.041,31.621,32.492,47.323,33.760,52.473
1244,29.196,37.920,30.787,23.780,26.778,34.828,49.949,39.031,39.232,24.367,38.491,34.404,29.507,34.276,34.611,33.559,26.839,24.085,23.773,27.229,36.968,34.186,31.898,31.271,32.465,47.525,34.063,52.436
1245,29.165,38.063,30.978,23.643,26.824,34.739,49.651,39.309,39.086,24.814,38.138,34.537,29.693,34.216,34.283,33.918,26.093,23.893,23.630,27.180,37.291,34.190,32.110,31.367,32.289,47.505,34.050,52.802
1246,28.941,38.096,30.893,23.738,26.867,34.340,49.698,39.387,39.178,24.430,37.964,34.560,29.846,34.113,34.694,33.691,25.712,23.636,23.786,27.102,37.039,34.180,32.044,31.943,32.180,47.523,33.653,52.630
1247,29.193,38.222,30.721,23.720,26.970,35.013,49.668,39.276,38.849,24.473,37.937,34.325,29.592,34.355,34.577,33.747,25.493,23.672,23.559,27.005,36.880,34.300,32.354,31.751,32.304,47.390,33.893,52.665
1248,29.226,38.379,30.938,23.847,26.691,34.734,50.026,39.536,39.099,24.615,38.177,34.453,29.713,34.371,34.366,33.668,25.085,23.686,23.545,27.154,36.713,34.283,32.294,31.741,32.347,47.514,34.110,52.406
