 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32
46,49.634,52.074,47.036,45.909,32.834,30.740,26.055,21.085,24.875,36.540,24.774,32.360,35.464,45.676,45.051,45.515,37.768,36.443,28.090,31.716,53.605,42.673,33.912,28.518,78.657,23.440,20.431,23.984,19.453,19.035,18.211,17.017
47,49.877,52.478,47.538,45.724,31.673,31.101,25.916,20.981,24.095,36.932,26.172,32.950,36.366,47.234,44.868,45.298,37.444,36.304,27.960,32.730,51.982,43.540,34.002,27.395,75.862,23.924,20.575,23.905,19.438,19.077,18.093,17.298
48,47.673,49.287,46.423,44.788,31.101,30.901,25.879,20.659,23.627,36.598,26.472,33.131,37.313,48.477,44.873,45.703,36.785,34.971,27.832,32.910,50.465,43.610,33.481,26.246,74.782,24.779,20.358,23.703,19.308,19.068,18.091,17.106
49,46.181,46.079,45.162,44.260,31.433,30.834,25.636,20.696,22.931,35.836,26.709,33.213,36.955,50.171,44.954,45.794,36.119,33.433,27.794,34.148,49.498,43.665,33.224,25.297,74.399,26.855,20.255,23.986,19.371,19.061,18.074,17.122
50,45.373,43.204,44.464,43.920,31.039,30.935,25.343,20.430,22.516,35.554,27.180,32.802,38.125,50.335,44.641,45.813,35.013,32.530,27.571,33.619,48.977,43.445,32.627,24.556,73.352,26.761,20.088,23.756,19.407,19.111,18.062,17.038
51,45.971,43.256,46.128,44.212,31.738,30.837,25.828,20.485,22.632,35.014,27.607,32.942,40.178,53.055,44.916,47.143,35.595,34.954,28.221,35.338,49.504,44.080,33.599,26.083,73.361,27.929,19.740,23.793,19.305,19.060,18.132,17.109
52,53.193,53.139,49.585,45.587,32.629,31.297,26.496,21.092,25.028,36.409,29.999,34.325,43.013,56.218,44.395,51.126,37.846,35.529,30.590,38.101,53.498,45.683,35.236,28.250,71.799,29.575,19.803,24.673,19.385,18.992,18.122,17.168
53,52.820,54.261,50.500,45.573,33.553,31.439,26.665,20.878,25.218,36.808,31.203,35.037,43.183,55.691,45.073,51.704,36.489,34.276,29.942,37.933,53.750,45.115,34.967,27.598,70.609,29.005,20.109,24.824,19.379,19.023,18.083,17.551
54,52.350,50.204,49.246,45.406,32.846,31.202,26.266,20.779,24.715,36.180,31.365,34.907,44.130,55.478,44.360,50.678,36.405,33.011,29.091,37.158,51.445,45.019,34.212,26.621,68.065,28.378,19.865,24.418,19.405,19.060,18.059,17.325
55,52.489,50.607,50.476,45.034,31.836,30.772,25.929,20.510,24.834,36.278,32.414,34.947,44.570,55.161,44.137,49.423,36.203,32.175,28.413,37.229,49.309,45.125,34.310,25.766,66.561,27.611,20.073,24.032,19.460,19.003,18.098,17.485
56,51.990,48.534,50.203,45.005,31.065,30.381,25.865,20.333,24.443,36.364,32.688,34.956,43.729,55.349,44.523,49.106,36.096,31.171,28.326,36.717,47.141,44.597,34.063,24.839,65.347,27.217,20.075,23.561,19.500,19.020,17.949,17.589
57,49.919,46.787,49.594,44.902,31.095,30.449,25.288,20.322,23.677,35.757,31.968,34.583,43.154,54.964,45.008,47.795,34.576,30.702,28.183,36.330,46.184,43.359,33.344,24.268,64.087,26.920,19.783,23.506,19.369,19.056,18.056,17.518
58,50.628,46.562,48.782,43.863,30.683,29.718,25.330,20.174,23.273,35.836,32.544,34.453,43.284,54.820,44.300,46.547,34.920,30.401,27.745,35.816,46.154,43.226,33.004,23.384,62.451,27.013,19.682,23.148,19.360,19.033,17.938,17.467
59,51.007,47.862,49.062,43.863,30.860,30.015,25.364,20.196,23.186,35.278,33.525,34.275,42.103,54.513,44.204,47.052,34.479,29.854,27.110,35.551,45.695,43.584,32.899,23.029,61.563,27.573,19.343,23.195,19.319,18.917,18.010,17.434
60,49.672,44.939,47.276,43.637,30.917,29.557,25.277,20.156,22.922,35.306,33.141,34.287,41.310,54.764,44.127,46.261,33.730,29.546,26.856,35.978,44.457,42.584,31.995,22.578,60.159,30.353,19.277,23.170,19.528,19.040,18.027,17.260
61,47.222,42.974,46.729,42.952,30.178,29.480,24.926,20.091,22.597,34.785,32.349,33.536,39.562,53.529,44.907,45.234,32.309,28.954,26.600,35.377,44.346,41.436,31.361,22.100,59.478,29.976,19.376,23.188,19.484,19.068,18.083,17.304
62,46.099,40.330,45.566,42.071,29.515,28.662,24.277,20.049,22.280,33.855,31.148,33.166,38.764,53.926,44.835,44.149,31.997,28.795,26.178,35.014,43.455,40.844,30.393,21.737,59.681,29.002,19.030,22.896,19.424,19.054,18.051,17.085
63,45.597,37.446,44.209,41.411,28.551,27.701,23.947,19.997,21.744,33.047,30.234,32.523,37.828,53.939,44.363,43.055,32.225,28.363,25.742,33.890,42.887,40.360,29.739,21.663,59.035,28.109,19.006,22.499,19.477,19.021,17.966,17.095
64,44.102,36.042,43.741,40.808,28.030,27.572,23.554,20.034,21.461,32.451,29.272,31.941,37.631,53.045,44.818,42.026,31.158,27.677,25.435,32.721,41.148,39.550,29.598,21.170,58.146,27.371,19.013,22.508,19.375,18.919,17.992,16.882
65,42.768,35.250,42.643,40.276,27.686,27.206,23.121,19.876,21.506,32.182,28.602,31.533,38.122,53.525,44.681,42.634,31.469,29.835,25.935,32.592,41.777,39.100,29.482,22.509,57.931,26.804,19.028,22.206,19.393,19.076,17.973,16.850
66,50.238,48.359,47.778,42.893,30.964,27.056,25.106,22.648,23.618,33.687,30.367,32.701,42.103,56.793,44.341,46.598,34.756,34.327,28.849,36.333,46.473,41.994,32.000,25.895,58.246,30.261,19.760,22.733,19.449,19.096,18.160,17.036
67,53.522,53.513,49.355,43.215,33.570,26.611,26.546,24.421,24.693,34.659,32.528,33.840,40.979,58.293,44.305,48.807,34.685,34.232,29.121,37.809,47.836,43.003,32.630,25.540,57.550,32.467,19.910,22.909,19.318,19.010,18.194,17.089
68,51.113,52.231,48.419,42.751,32.972,25.770,26.232,23.601,24.197,34.886,32.410,34.248,38.525,57.020,45.009,48.309,33.695,33.236,28.467,37.431,48.318,42.535,32.577,25.181,56.087,31.740,20.135,22.875,19.623,19.084,18.115,17.039
69,49.721,49.841,47.378,42.178,31.642,25.202,25.522,22.577,23.436,34.836,32.141,34.070,37.870,57.457,44.729,48.481,34.186,34.624,28.064,37.114,49.250,42.322,32.728,25.411,55.394,31.247,20.371,22.627,19.431,19.067,18.142,17.103
70,48.367,46.780,46.389,41.162,30.501,24.589,24.902,21.915,22.814,34.213,31.137,33.618,37.430,55.632,44.813,47.721,33.752,33.356,27.724,36.943,47.361,40.859,31.976,24.723,54.575,30.726,20.264,22.434,19.435,19.081,18.169,16.887
71,49.308,47.561,46.509,41.162,29.608,24.503,24.765,21.526,22.636,34.334,30.674,33.205,35.602,54.973,44.872,47.450,33.582,33.606,27.115,36.133,46.006,40.454,31.200,23.734,53.671,29.635,20.015,22.436,19.411,19.097,18.098,16.885
72,50.430,48.308,47.053,41.484,28.979,25.043,24.187,21.070,22.454,34.603,30.741,32.961,34.048,54.814,44.774,46.044,33.199,34.044,27.147,35.795,45.303,40.688,31.362,23.214,53.222,28.690,20.455,22.149,19.464,19.052,18.010,17.033
73,48.911,45.351,46.449,40.842,28.173,25.553,23.855,20.864,22.195,34.082,30.775,32.710,34.910,53.820,44.747,44.799,32.534,31.800,26.573,34.893,43.299,40.681,31.240,22.493,52.021,27.605,20.603,22.023,19.445,18.970,18.154,17.083
74,49.911,46.579,46.105,40.822,27.922,25.551,23.636,20.595,22.437,34.157,30.561,32.239,33.828,53.109,44.769,44.143,32.068,32.576,26.479,34.150,42.930,39.497,30.562,22.161,51.586,26.983,20.427,21.763,19.321,19.132,18.078,17.121
75,50.556,47.708,46.605,40.806,28.618,26.084,23.623,20.560,22.826,34.565,30.403,32.101,32.353,51.290,44.585,43.406,31.666,31.804,25.974,33.724,40.809,39.360,30.313,21.830,50.211,26.510,19.948,21.844,19.488,19.103,18.088,17.193
76,49.599,44.962,46.468,39.943,28.087,26.105,23.530,20.446,22.452,34.196,29.765,31.855,30.952,50.070,44.717,42.596,31.113,30.527,25.633,32.717,39.490,38.398,29.610,21.330,49.418,25.863,19.807,21.441,19.516,19.048,17.953,17.224
