 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21
243,35.074,29.186,28.857,27.630,27.427,27.498,28.402,27.376,27.912,24.227,21.902,21.301,21.036,21.719,22.656,24.919,25.802,23.520,26.034,23.956,20.287
244,34.680,29.229,28.879,27.654,27.476,27.513,28.352,27.241,27.890,24.260,22.064,21.367,21.091,21.637,22.608,25.066,25.857,23.490,25.583,24.016,20.217
245,34.646,29.066,28.673,27.714,27.742,27.591,28.334,27.210,27.640,24.388,22.176,21.417,21.061,21.611,22.645,25.159,25.810,23.402,25.638,24.040,20.050
246,34.971,29.201,28.838,27.686,27.372,27.619,28.521,27.211,27.615,24.160,22.074,21.251,21.117,21.733,22.580,25.124,25.824,23.471,25.460,23.853,20.075
247,34.780,29.175,28.815,27.716,27.380,27.455,28.308,27.258,27.799,24.119,22.108,21.274,21.026,21.633,22.653,25.319,25.832,23.583,25.987,23.902,20.127
248,34.659,29.044,28.902,27.864,27.573,27.476,28.114,27.401,27.572,24.335,22.058,21.189,20.888,21.679,22.598,25.208,25.889,23.855,25.923,24.167,20.106
249,34.683,29.125,28.996,27.536,27.481,27.492,28.160,27.190,27.572,24.215,22.034,21.139,20.976,21.644,22.656,25.230,25.855,23.596,25.417,24.176,20.113
250,34.534,28.803,28.851,27.763,27.417,27.326,28.135,27.164,27.742,24.272,22.018,21.347,21.026,21.613,22.642,25.157,25.751,23.539,25.579,23.936,20.169
251,34.628,29.111,28.881,27.758,27.469,27.459,28.068,27.233,27.558,24.187,22.046,21.502,21.037,21.642,22.534,25.134,25.869,23.532,25.638,23.978,20.000
252,34.629,29.043,28.815,27.793,27.290,27.594,28.161,27.240,27.505,24.261,22.056,21.274,21.035,21.660,22.587,25.134,25.764,23.525,25.468,23.769,20.077
253,34.674,28.978,29.072,27.625,27.357,27.533,28.178,27.216,27.823,24.192,22.098,21.440,20.935,21.612,22.556,25.178,25.885,23.672,25.847,24.031,20.011
254,34.621,28.964,28.996,27.689,27.352,27.408,28.167,27.157,27.417,24.182,22.098,21.560,21.085,21.806,22.550,25.019,25.836,23.625,25.489,23.944,20.144
255,34.698,29.267,28.860,27.669,27.447,27.383,28.086,27.339,27.855,24.262,21.988,21.347,21.037,21.789,22.461,25.160,25.786,23.478,25.817,24.082,20.077
256,34.775,28.984,28.933,27.400,27.459,27.370,28.091,27.177,27.516,24.273,21.938,21.432,21.076,21.657,22.648,25.194,25.950,23.537,25.591,24.084,20.127
257,34.667,28.814,28.883,27.627,27.526,27.460,28.084,27.232,27.537,24.208,22.124,21.282,20.980,21.544,22.579,25.033,25.907,23.522,25.923,24.109,20.144
258,34.738,29.153,28.875,27.840,27.208,27.531,28.027,27.254,27.721,24.309,21.948,21.224,20.977,21.639,22.576,25.057,25.854,23.569,25.677,23.996,19.973
259,34.724,29.071,28.858,27.620,27.347,27.617,27.970,27.158,27.862,24.442,22.180,21.459,21.063,21.579,22.539,25.378,25.789,23.586,25.843,24.044,20.031
260,34.876,28.858,29.049,27.807,27.300,27.561,28.103,27.258,27.770,24.267,22.052,21.151,20.974,21.610,22.537,25.284,25.787,23.385,25.626,24.082,20.077
261,34.906,28.885,28.993,27.704,27.454,27.451,27.968,27.170,27.788,24.272,22.269,21.344,20.991,21.544,22.537,25.246,25.668,23.422,25.753,24.278,20.002
262,34.679,28.929,29.116,27.575,27.402,27.393,27.946,27.249,27.901,24.215,22.020,21.259,20.929,21.584,22.510,25.299,25.899,23.551,25.604,24.016,20.038
263,34.964,29.095,28.967,27.921,27.246,27.327,27.883,27.173,27.686,24.220,22.042,21.154,20.844,21.665,22.525,25.291,25.804,23.431,25.515,24.100,20.039
264,34.961,29.172,28.952,27.857,27.695,27.375,28.126,27.040,27.799,24.084,21.954,21.305,21.010,21.589,22.508,25.092,25.668,23.331,26.004,23.953,20.054
