 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38
46,64.424,22.970,31.439,29.408,25.453,27.225,23.769,20.569,20.382,30.139,19.235,20.882,25.641,22.811,24.229,21.250,24.808,44.663,19.971,24.125,20.705,19.087,18.436,17.498,20.629,16.520,19.869,21.326,21.411,18.293,18.761,53.837,30.331,21.153,15.629,23.919,18.085,21.948
47,62.295,22.638,31.134,29.375,25.444,27.545,23.821,20.533,20.467,30.187,19.605,20.703,25.742,23.293,24.165,21.279,25.213,43.271,19.873,24.160,20.283,18.777,18.397,17.476,20.762,16.618,19.791,21.067,21.273,18.215,18.806,54.020,29.971,21.089,15.627,23.671,17.855,21.988
48,60.452,22.942,31.145,29.255,25.444,27.392,23.911,20.581,20.507,30.419,19.570,20.698,25.808,23.223,24.161,21.269,25.277,42.348,19.855,24.098,20.255,18.554,18.128,17.334,20.688,16.356,19.689,21.343,21.425,18.139,18.747,53.793,30.191,20.884,15.578,23.585,17.861,21.960
49,58.778,22.868,31.116,29.270,25.142,27.501,24.025,20.545,20.365,30.000,19.428,20.767,25.771,22.960,24.228,21.411,24.541,41.279,19.748,24.105,20.056,18.690,18.043,17.382,20.612,16.062,19.567,21.289,21.293,18.226,18.804,53.408,29.952,20.722,15.596,23.463,17.845,22.116
50,57.132,22.997,30.826,29.167,25.083,27.387,23.674,20.576,20.406,29.967,19.337,20.754,25.690,22.783,24.148,21.247,24.255,40.175,19.805,24.003,20.000,18.446,18.252,17.351,20.540,15.902,19.588,21.192,21.339,18.205,18.717,53.309,30.180,20.413,15.506,23.618,17.606,22.009
51,55.780,22.890,30.868,28.965,24.976,27.489,23.556,20.615,20.344,29.840,19.262,20.703,25.527,22.519,24.133,21.322,23.786,39.354,19.644,24.082,19.813,18.299,18.128,17.361,20.597,15.702,19.534,21.397,21.204,18.027,18.776,53.328,29.853,20.155,15.581,23.610,17.631,21.894
52,54.423,22.690,30.549,28.812,25.069,27.264,23.608,20.625,20.299,29.910,19.512,20.733,25.611,22.447,24.035,21.303,24.251,38.547,19.765,24.177,19.753,18.533,18.038,17.142,20.508,15.498,19.621,21.151,21.506,18.048,18.641,53.156,30.276,19.818,15.555,23.309,17.849,21.795
53,53.354,22.710,30.724,28.921,25.079,27.375,23.717,20.485,20.358,29.723,19.360,20.657,25.640,22.436,24.015,21.196,24.279,37.748,19.785,24.123,19.813,18.114,18.162,17.067,20.620,15.511,19.643,21.222,21.494,18.086,18.710,53.011,29.721,19.878,15.500,23.967,17.811,22.057
54,52.108,22.923,30.876,28.935,24.854,27.327,23.580,20.511,20.345,29.895,19.223,20.670,25.649,22.684,23.972,21.255,23.687,37.072,19.874,24.175,19.785,18.098,18.415,17.248,20.635,15.427,19.468,21.167,21.279,18.154,18.691,52.693,29.831,19.714,15.542,23.215,17.681,21.764
55,51.044,22.753,30.491,28.921,24.677,27.121,23.712,20.396,20.248,29.672,19.134,20.841,25.682,22.883,24.066,21.196,23.194,36.317,19.755,24.168,19.610,18.136,18.312,17.062,20.539,15.480,19.577,20.929,21.379,18.078,18.741,52.926,29.647,19.739,15.464,23.187,17.536,22.080
56,50.145,22.518,30.544,28.833,24.726,26.995,23.689,20.548,20.390,29.937,19.493,20.397,25.595,22.699,24.088,21.131,22.942,35.700,19.787,24.080,19.721,18.103,18.154,17.091,20.559,15.427,19.509,21.197,21.213,18.080,18.757,52.354,29.989,19.609,15.531,23.301,17.492,22.033
57,49.218,22.501,30.565,28.777,24.854,27.126,23.583,20.559,20.367,29.596,19.382,20.653,25.710,22.844,24.005,21.084,23.398,34.984,19.815,24.022,19.641,17.902,18.286,17.111,20.455,15.449,19.464,21.230,21.276,18.038,18.742,52.506,29.835,19.629,15.565,23.350,17.546,21.835
58,48.446,22.778,30.441,29.317,24.811,26.925,23.617,20.539,20.277,29.831,19.217,20.509,25.653,22.835,24.156,21.235,22.964,34.681,19.803,23.937,19.713,17.951,18.209,17.019,20.567,15.480,19.466,21.067,21.270,18.011,18.760,52.020,29.776,19.603,15.458,23.573,17.555,21.856
59,47.455,22.455,30.478,30.067,24.876,27.048,23.565,20.503,20.148,29.789,19.234,20.431,25.509,22.324,23.948,21.165,22.650,34.009,19.610,24.154,19.486,18.239,17.957,16.966,20.571,15.507,19.483,21.377,21.328,17.979,18.764,52.214,29.647,19.564,15.523,23.358,17.454,21.851
60,46.964,22.723,30.344,29.575,24.948,27.182,23.660,20.546,20.269,29.639,19.463,20.472,25.510,22.276,23.973,21.188,22.361,33.512,19.548,23.914,19.598,18.109,18.171,16.829,20.543,15.342,19.550,21.067,21.296,18.114,18.741,52.020,29.890,19.497,15.525,23.337,17.621,21.870
61,46.419,22.351,30.273,29.457,24.738,26.981,23.528,20.466,20.267,29.687,19.173,20.409,25.600,22.301,23.787,21.073,22.992,32.928,19.766,23.903,19.625,17.815,18.051,16.969,20.582,15.271,19.526,20.983,21.247,17.968,18.671,51.906,29.632,19.603,15.530,23.423,17.489,21.894
62,45.985,22.652,30.223,29.070,24.899,27.036,23.438,20.448,20.216,29.467,19.109,20.478,25.540,22.008,23.925,21.162,22.787,32.406,19.742,24.011,19.546,17.984,18.111,17.067,20.488,15.356,19.469,20.891,21.305,17.958,18.682,52.102,29.250,19.596,15.571,23.419,17.502,21.729
63,45.204,22.562,30.347,28.674,24.844,27.140,23.329,20.514,20.304,29.509,19.291,20.476,25.548,21.790,23.946,21.177,22.515,31.868,19.689,24.017,19.869,17.696,17.991,16.971,20.532,15.413,19.520,20.983,21.195,17.865,18.659,52.040,29.562,19.540,15.479,23.423,17.429,21.778
