 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89
546,22.174,63.671,29.895,33.461,35.686,38.267,27.162,46.750,36.591,26.433,23.289,23.338,24.212,22.269,23.110,28.890,22.984,26.162,22.259,29.342,26.469,24.387,25.424,28.881,26.048,24.204,50.898,26.668,24.149,20.742,50.822,32.495,31.807,29.530,30.121,20.749,52.597,28.235,57.044,43.484,39.098,31.519,29.167,28.181,39.372,25.188,26.379,25.710,27.274,22.686,24.243,23.780,31.869,26.010,49.247,21.886,22.927,21.629,23.861,22.605,43.049,37.588,28.348,26.346,29.604,30.181,27.872,37.081,48.242,27.203,34.756,41.121,29.628,31.457,22.605,22.338,24.303,36.504,26.124,20.636,25.810,22.133,23.504,20.326,38.292,19.615,22.684,20.995,22.772
547,22.160,64.907,30.663,32.684,35.039,38.229,27.110,46.553,36.460,26.371,23.063,23.604,24.264,22.307,23.042,28.812,23.109,26.618,22.333,29.901,26.781,24.438,25.305,28.801,26.232,24.388,53.189,26.475,23.991,20.775,47.298,31.316,30.940,28.550,29.689,20.909,53.901,28.661,55.689,43.391,38.640,31.337,29.097,27.810,40.803,24.958,26.213,25.651,27.216,22.701,24.508,23.275,31.815,25.775,50.895,21.980,22.845,21.595,23.964,22.622,46.433,37.691,28.105,26.323,29.005,29.979,27.468,36.836,48.055,27.228,35.141,40.758,29.788,31.262,22.651,22.390,24.355,36.688,26.949,20.717,26.603,22.200,23.591,20.450,38.984,19.851,22.684,20.970,22.664
548,22.218,65.188,30.736,32.189,34.439,38.559,27.353,46.399,36.262,26.100,23.067,23.429,24.325,22.149,23.126,28.598,23.235,26.441,22.316,29.320,27.159,24.720,25.304,28.295,26.022,24.133,54.792,26.290,24.060,20.824,43.532,30.188,30.790,28.481,29.365,22.393,53.150,28.383,55.405,42.907,38.001,31.630,28.636,27.592,41.412,24.547,26.058,25.728,26.741,22.733,24.216,23.312,31.930,25.603,52.663,22.026,22.927,21.695,23.614,22.816,46.774,36.513,27.994,26.083,28.193,29.807,27.439,36.893,46.959,27.640,33.609,40.650,29.894,31.775,22.975,22.558,24.497,37.233,27.387,20.374,26.281,22.181,23.564,20.325,38.853,19.856,22.991,21.091,22.795
549,22.214,65.221,30.445,32.299,37.169,38.225,27.764,46.618,37.113,25.863,23.168,23.177,24.258,22.426,23.129,28.702,23.206,26.658,22.595,29.462,27.486,24.884,25.570,28.442,26.331,24.888,54.562,26.256,24.666,20.803,41.685,29.697,31.350,28.549,29.885,23.314,51.723,28.768,55.796,42.353,37.420,31.628,29.082,27.673,39.743,24.489,26.230,25.849,26.983,22.616,24.310,23.573,32.227,25.614,52.830,22.139,23.112,21.656,23.809,22.471,45.153,35.607,28.178,26.296,27.844,29.376,26.845,35.501,45.188,27.439,33.065,40.362,29.536,31.684,22.943,22.513,24.613,37.257,26.600,20.323,26.242,22.019,23.404,20.271,38.641,20.017,22.988,20.904,22.917
550,22.876,66.097,31.302,33.470,39.882,37.679,28.412,46.697,37.717,26.333,23.469,23.309,24.187,22.448,23.201,29.006,23.569,26.926,22.822,30.911,29.413,27.633,28.443,29.535,26.885,25.402,53.852,26.335,24.741,20.838,48.643,31.200,34.742,28.910,30.919,23.761,53.860,29.058,57.047,42.599,37.424,31.579,29.045,27.644,42.174,25.482,26.630,26.003,26.890,22.762,24.639,23.546,34.111,25.664,53.484,22.314,23.227,21.519,24.102,22.749,45.552,35.778,28.865,26.550,27.861,29.106,26.742,34.282,44.269,27.754,32.656,40.348,29.720,32.580,23.311,22.615,25.032,37.718,26.304,20.265,28.309,22.071,23.506,20.419,40.385,20.576,22.985,21.177,22.807
551,23.463,67.024,31.933,33.386,42.266,36.942,28.695,46.702,37.626,26.471,23.792,22.971,24.158,22.354,23.190,29.185,23.363,26.485,22.486,30.904,30.294,28.848,29.947,29.343,26.919,25.146,52.322,26.246,24.858,20.819,46.932,30.830,35.047,28.433,31.283,24.785,54.101,28.829,56.970,42.555,36.969,31.318,29.204,27.308,42.663,25.268,26.542,25.757,26.457,23.078,24.757,23.390,35.178,25.602,52.972,22.675,23.386,21.622,24.099,22.555,43.774,34.669,28.756,26.533,27.663,28.988,26.637,33.089,43.530,27.900,31.850,40.089,29.727,32.782,23.207,22.478,25.142,36.827,25.525,19.990,28.590,21.961,23.524,20.353,40.876,20.996,22.882,21.017,22.804
552,23.544,68.978,32.473,33.641,42.238,36.187,28.655,46.765,37.677,26.096,24.172,22.933,24.205,22.290,23.105,28.613,23.257,26.787,22.710,30.252,30.275,28.961,29.617,28.814,26.837,24.945,50.733,26.324,24.957,20.738,44.263,30.401,34.689,28.151,31.325,25.318,53.949,28.899,57.023,42.000,36.916,30.774,28.993,27.256,42.109,25.406,26.670,25.932,26.420,23.142,24.858,23.092,35.977,25.448,53.329,22.734,23.378,21.485,24.228,22.797,43.000,33.485,28.770,26.800,27.517,28.927,26.498,31.958,43.744,27.859,31.094,39.771,28.901,32.183,23.090,22.394,25.395,36.498,24.644,19.925,28.832,22.019,23.546,20.187,41.161,20.884,22.594,21.042,22.806
553,23.747,70.278,32.741,33.914,42.242,35.993,28.725,46.473,37.788,26.484,24.248,22.962,24.432,22.277,23.285,29.095,23.421,26.566,22.569,29.759,30.972,29.377,29.076,28.468,26.828,24.892,49.553,26.228,25.235,20.872,42.748,29.859,34.474,27.291,31.581,25.277,55.409,29.220,57.674,41.590,36.730,30.707,28.944,27.494,40.586,25.301,26.467,25.825,26.545,23.403,24.573,23.231,36.293,25.477,54.542,22.600,23.783,21.616,23.974,22.761,40.267,32.849,28.518,26.475,27.396,28.724,26.351,30.796,44.523,27.631,30.588,40.054,29.410,32.144,22.785,22.311,25.455,37.167,24.137,19.847,29.328,21.927,23.454,20.321,41.220,21.339,23.139,20.989,22.971
554,23.856,72.176,32.553,33.447,41.303,35.314,28.789,46.450,37.619,26.551,24.824,23.283,24.297,22.152,23.253,29.176,23.206,26.577,22.526,29.190,31.367,30.271,28.660,27.641,26.660,24.584,48.560,26.167,25.436,20.886,40.419,29.120,34.411,27.026,31.774,25.045,54.761,29.188,57.658,41.477,36.387,30.793,29.271,27.188,39.960,24.911,26.436,25.888,26.957,23.505,24.631,23.322,36.829,25.553,54.441,22.855,24.423,21.396,24.274,22.751,38.190,32.354,29.281,26.440,27.587,28.683,26.511,30.451,43.755,27.504,30.265,40.199,29.068,32.804,22.932,22.536,25.560,37.494,23.664,19.526,29.639,21.858,23.416,20.358,42.039,21.693,23.375,21.011,22.858
555,23.483,73.075,32.785,32.926,41.189,35.568,29.254,46.615,37.765,26.057,24.794,23.204,24.288,22.112,23.206,29.033,23.196,26.360,22.474,28.637,30.968,29.899,27.947,27.535,26.617,24.680,48.002,26.374,25.266,21.002,38.369,28.503,34.431,26.608,31.832,24.826,53.760,28.913,56.415,40.912,36.125,30.906,29.011,27.260,39.824,24.810,26.278,25.612,26.776,23.710,24.574,23.369,37.342,25.416,55.021,22.932,24.517,21.512,24.756,22.734,38.761,32.360,30.912,26.929,27.737,28.579,26.589,30.592,42.924,27.638,29.976,39.555,28.761,33.646,23.147,22.633,25.891,37.482,23.125,19.388,29.374,21.963,23.326,20.223,43.571,21.749,23.635,20.953,22.987
