 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12
147,72.791,74.668,75.466,81.383,74.942,74.767,74.779,76.690,73.875,74.863,71.066,70.512
148,72.390,74.730,74.601,81.511,75.851,73.928,74.921,76.203,74.029,75.302,70.804,70.669
149,72.049,75.158,75.062,81.584,75.672,74.958,74.746,76.615,74.404,75.609,71.135,70.426
150,72.481,75.249,75.206,80.762,75.076,74.737,74.845,77.431,73.561,75.328,70.938,70.215
151,72.897,75.237,74.579,81.529,75.185,74.560,74.867,77.042,73.750,75.609,70.978,70.096
152,72.456,74.814,74.880,80.398,74.167,74.524,74.912,76.187,73.618,75.044,70.841,70.477
153,72.448,75.123,74.823,81.401,74.839,75.036,74.755,76.822,74.304,74.935,71.005,69.976
154,72.152,75.281,75.161,82.045,74.936,74.155,75.265,76.789,74.069,74.477,70.999,70.267
155,72.411,75.124,75.234,81.140,74.933,74.374,75.092,76.185,73.968,75.202,71.411,70.107
156,72.077,74.986,74.627,81.682,75.447,75.155,74.699,76.792,73.897,75.023,70.955,70.246
157,72.371,75.097,75.078,81.622,74.781,74.399,75.110,76.758,73.618,75.082,71.019,70.600
158,72.507,74.848,74.987,81.454,75.210,74.141,75.232,76.764,73.752,75.397,71.108,70.511
159,72.690,74.748,75.257,82.231,75.052,74.839,74.725,76.236,73.919,75.092,71.140,70.371
160,71.786,74.636,74.534,81.576,75.064,75.094,74.867,76.809,73.936,75.645,71.102,70.376
161,72.462,74.501,74.872,81.902,74.632,74.163,75.131,76.470,73.949,75.256,70.845,70.492
162,72.601,75.180,75.161,81.957,75.122,75.252,74.794,76.715,73.949,74.790,71.054,70.347
163,72.575,75.387,74.965,81.358,75.596,74.598,75.226,76.569,73.885,75.071,71.033,70.743
164,72.312,75.621,74.954,81.594,74.875,74.371,74.714,75.990,73.917,75.584,71.793,70.627
165,72.469,75.361,74.967,81.343,75.413,74.396,74.972,76.848,74.059,75.534,70.656,70.409
166,73.098,75.318,74.582,81.218,74.511,75.136,75.531,77.700,73.841,75.347,70.751,70.580
167,75.000,80.415,78.821,82.607,79.897,78.230,79.344,83.860,75.566,76.649,71.175,70.569
168,75.368,81.507,80.223,81.840,80.033,79.792,80.123,84.023,76.777,77.013,71.258,71.535
169,74.812,80.051,79.343,82.414,78.456,79.294,78.318,81.576,76.846,77.200,71.484,72.100
170,74.204,79.613,78.408,81.847,78.416,78.161,77.112,80.611,77.233,77.166,70.912,71.338
171,73.200,78.994,77.833,81.296,78.267,77.532,76.409,80.650,76.341,76.651,71.428,71.256
172,73.418,78.621,78.789,81.855,78.149,76.886,76.138,80.592,75.630,76.674,71.115,71.272
173,73.639,78.842,77.537,81.784,78.462,76.839,75.437,79.111,75.637,76.975,71.471,71.977
174,72.831,78.229,77.003,81.065,77.720,76.781,75.409,78.912,76.228,76.948,71.346,71.293
175,72.796,78.240,76.464,81.120,77.383,76.321,75.331,78.546,75.527,76.874,71.147,71.325
176,72.300,77.364,76.451,81.150,77.185,76.551,74.989,79.032,74.892,76.725,71.204,71.355
177,72.545,77.524,76.019,81.624,76.638,76.141,74.886,78.101,75.301,76.517,70.942,71.338
178,72.624,76.954,76.057,81.436,76.988,76.435,75.381,78.556,75.218,76.292,71.124,70.513
179,72.528,76.415,75.611,82.048,76.201,76.008,75.338,78.469,74.890,75.815,71.185,70.943
180,73.204,76.627,75.246,82.213,76.331,75.069,74.916,78.434,74.471,76.277,70.878,70.426
181,72.878,75.777,75.314,81.920,76.812,75.784,75.131,78.010,74.750,76.021,71.103,71.040
182,72.517,75.874,75.303,81.396,76.015,75.961,74.845,77.884,74.725,76.284,71.136,70.122
183,72.733,75.641,75.038,81.812,76.088,75.321,75.245,78.181,74.892,75.836,71.054,70.289
184,72.662,75.651,75.231,81.687,75.340,74.981,75.249,78.056,74.304,75.823,70.982,70.614
185,73.028,75.982,75.431,82.143,75.666,74.324,75.028,77.818,74.341,75.824,70.944,71.023
186,72.812,75.575,75.418,81.346,75.769,74.504,74.692,77.789,74.865,76.094,71.163,70.167
187,72.314,75.137,75.019,81.213,75.505,74.102,74.327,77.499,74.005,75.615,70.935,70.334
188,72.411,75.751,74.903,82.185,75.854,74.429,75.200,76.826,74.397,75.185,71.234,69.934
189,72.563,75.545,74.745,81.464,75.681,74.598,74.585,76.709,74.500,75.427,71.151,70.413
190,72.564,75.344,75.099,81.068,75.836,74.155,74.940,77.315,73.961,75.233,71.328,70.434
191,72.359,75.249,74.643,81.153,75.170,74.141,74.766,77.052,74.343,75.750,71.064,70.184
192,72.514,75.252,75.285,81.140,75.660,74.255,75.280,76.834,74.336,74.975,71.393,70.519
193,72.425,75.346,75.211,80.965,75.681,74.834,75.050,76.324,74.176,75.765,71.136,70.238
194,72.545,75.035,75.104,81.825,75.924,74.152,75.234,76.650,74.228,75.498,71.257,70.683
195,72.024,74.899,74.852,81.336,75.325,74.526,74.804,76.799,74.223,75.708,70.834,70.372
196,72.699,75.439,75.144,81.459,75.650,73.773,75.288,76.168,74.549,75.128,71.188,70.564
197,72.470,75.052,74.847,80.709,74.714,74.632,75.271,76.117,74.659,75.002,70.979,70.156
