 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50
325,118.152,224.818,51.594,47.123,42.166,38.700,67.588,72.197,56.530,38.671,58.875,59.002,54.184,39.533,41.286,42.064,56.209,60.829,59.914,75.065,89.741,246.234,160.986,66.159,58.113,61.755,36.802,42.940,40.675,46.856,44.240,38.216,43.247,51.954,39.020,41.810,40.332,32.311,30.573,30.859,35.665,43.380,35.944,44.330,44.572,43.318,42.766,48.244,43.984,44.028
326,115.294,216.647,51.321,46.568,41.401,38.658,64.178,69.090,56.399,38.167,58.237,59.484,52.916,39.263,40.847,42.222,55.730,57.746,58.292,71.106,87.323,242.315,149.027,66.064,58.103,61.860,36.913,43.314,40.573,46.543,43.610,37.879,42.894,51.651,38.916,41.151,40.229,32.269,30.560,30.934,35.603,43.224,35.685,44.062,45.072,43.152,42.441,46.798,43.436,44.265
327,111.751,209.412,50.245,46.136,40.752,37.903,61.155,65.850,56.176,37.999,57.690,59.185,52.331,39.170,40.958,42.483,56.198,55.588,56.930,67.902,85.733,239.268,136.742,66.376,57.608,61.690,36.851,43.144,40.291,46.287,42.803,37.787,42.452,51.717,39.286,41.391,40.065,32.345,30.581,30.838,35.583,43.146,35.997,44.181,44.599,43.724,42.064,46.674,43.756,44.471
328,110.076,203.259,48.630,45.181,39.963,37.875,59.669,63.833,56.221,37.796,61.103,58.557,51.852,39.210,40.943,41.664,55.783,53.720,55.852,65.387,83.763,235.617,128.130,65.178,57.616,61.236,36.608,43.265,40.201,46.642,42.936,37.489,42.573,51.640,38.987,41.048,39.929,32.229,30.323,30.629,35.616,43.301,35.754,44.351,44.596,43.453,42.213,46.366,43.597,44.461
329,107.490,196.306,48.321,45.487,39.267,37.639,56.559,62.636,56.206,37.743,62.314,59.077,51.214,39.422,41.050,41.702,55.928,51.686,55.304,63.033,81.963,231.787,119.193,65.260,57.543,61.231,36.707,43.552,40.523,46.434,42.347,37.539,42.166,51.147,38.828,40.600,40.239,32.178,30.635,30.729,35.567,43.087,35.673,44.809,44.339,43.826,42.357,47.028,43.410,44.522
330,107.911,190.114,49.371,44.699,38.825,37.443,55.209,60.614,56.443,37.510,60.671,59.380,50.674,39.348,40.983,41.668,56.100,50.748,54.841,61.257,83.433,237.832,114.063,65.986,57.186,61.495,36.722,43.168,40.572,46.469,42.336,37.810,42.335,51.254,38.529,40.667,40.179,32.002,30.611,30.681,35.458,43.046,35.589,43.951,45.099,43.489,42.312,47.092,43.244,44.026
331,114.980,184.836,48.108,45.427,38.507,37.310,53.779,59.251,56.152,37.822,59.047,59.392,51.340,39.107,41.082,41.251,55.670,49.907,54.437,60.040,85.213,248.735,108.860,65.676,57.164,60.731,36.805,43.044,40.490,46.409,42.002,37.519,41.950,52.074,38.687,40.531,40.017,31.954,30.707,30.789,35.278,43.000,35.698,44.146,44.627,43.544,42.514,47.286,43.532,44.198
332,113.465,194.830,48.882,49.003,38.131,37.555,64.070,58.520,56.434,38.279,58.757,59.185,51.145,39.395,41.323,41.508,56.047,48.980,54.412,67.863,88.088,251.537,117.091,65.707,57.197,65.992,36.921,43.279,40.556,46.526,42.319,37.347,42.413,52.013,40.815,40.711,39.977,32.033,30.597,30.567,35.440,43.017,35.576,44.701,44.692,44.890,42.307,51.430,43.125,44.425
333,112.656,206.560,48.549,49.539,38.819,37.941,67.329,59.960,56.220,38.791,59.286,59.272,51.521,39.104,41.168,41.602,56.004,51.474,55.658,78.883,87.377,251.807,135.477,65.973,57.137,68.255,36.666,43.152,40.997,46.951,42.822,38.053,43.098,52.873,42.448,42.564,39.913,32.097,30.355,30.668,35.618,42.964,35.647,44.500,45.271,45.102,42.448,52.016,43.470,44.696
334,117.260,241.292,49.234,52.513,45.090,38.555,67.766,79.775,56.583,40.214,70.413,59.299,55.766,39.330,41.840,42.254,61.555,58.702,81.964,87.009,86.516,254.272,182.083,66.862,58.304,71.423,37.965,43.392,43.604,50.454,49.463,44.132,46.804,54.384,50.613,45.264,41.127,32.153,30.573,31.109,35.583,43.151,36.424,44.545,45.041,44.762,43.776,55.054,43.647,45.941
335,114.572,239.785,48.091,50.474,47.356,39.044,65.460,85.789,57.005,39.878,71.256,59.516,58.986,39.301,41.876,42.355,63.387,57.705,95.825,85.006,84.951,252.737,192.389,67.450,58.277,70.041,38.656,43.460,43.631,51.461,51.030,45.719,47.412,54.044,47.461,45.031,41.828,32.234,30.781,31.576,35.680,43.449,36.475,44.472,44.853,45.094,43.345,51.840,43.779,45.921
336,111.599,232.799,47.469,49.223,46.086,39.369,62.043,81.764,56.435,39.168,66.927,59.079,57.432,39.534,41.895,42.560,61.085,55.261,91.276,80.163,82.751,250.304,186.301,66.783,57.599,67.385,38.024,43.214,42.715,50.319,50.683,46.335,48.288,52.860,44.357,43.360,41.198,32.147,30.765,31.731,35.500,43.195,36.206,44.250,44.202,44.323,43.205,49.723,43.460,45.573
337,108.846,225.035,47.989,47.654,44.078,39.253,59.926,77.231,56.169,38.826,62.551,59.187,56.114,39.295,41.521,42.430,59.579,53.104,84.665,74.694,81.073,247.043,172.911,67.017,57.736,65.758,37.655,43.060,42.055,49.306,49.024,45.547,47.502,53.382,42.057,42.249,41.055,32.149,30.651,31.530,35.433,43.159,35.926,44.285,44.925,44.036,42.782,48.324,43.460,45.030
