 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26
55,88.593,91.374,89.802,90.804,84.068,111.898,101.572,92.632,94.091,106.166,96.434,101.213,113.687,91.657,88.103,102.069,93.305,87.340,83.240,88.943,93.442,84.882,81.817,94.536,95.581,100.692
56,88.886,90.637,89.237,89.912,84.433,112.258,100.796,93.875,93.710,107.092,96.590,101.702,115.035,92.145,88.157,101.490,93.925,87.803,83.875,88.872,92.867,83.846,81.303,94.387,94.808,101.325
57,88.135,91.000,90.189,89.828,84.772,112.451,99.528,93.225,94.062,105.855,96.116,101.779,115.395,91.609,88.698,101.582,92.968,87.678,83.489,88.857,93.185,84.094,82.269,93.896,94.865,100.792
58,89.173,91.026,89.747,89.964,85.113,112.920,100.841,94.657,93.941,105.130,96.677,101.399,115.000,92.284,88.855,100.883,94.025,87.624,83.006,88.616,93.302,84.225,81.723,94.154,96.102,100.691
59,88.466,90.687,89.561,90.277,84.580,112.093,100.915,94.428,94.600,106.000,97.745,102.360,114.597,92.487,88.328,102.115,94.073,87.430,83.738,89.026,93.504,84.288,81.711,94.825,95.438,101.372
60,88.988,91.972,89.944,91.349,84.898,112.131,101.384,92.731,95.060,106.265,96.724,102.238,115.166,92.317,88.230,102.306,93.194,87.512,83.643,89.134,93.931,84.459,81.639,95.038,95.629,100.744
61,88.790,90.848,89.395,90.573,85.070,112.612,100.443,94.368,94.241,104.998,97.870,101.689,114.745,92.536,88.152,101.490,93.762,87.197,82.991,89.201,93.511,84.544,82.351,94.587,95.814,101.161
62,88.478,90.389,89.568,90.485,84.466,112.942,100.634,94.188,94.644,106.047,96.884,102.345,114.994,91.533,88.426,101.789,93.826,88.076,82.571,88.877,94.333,84.346,81.997,94.745,95.243,101.268
63,88.523,90.472,89.517,90.303,84.975,112.053,101.011,94.104,95.365,107.339,97.559,102.530,114.793,92.079,88.799,102.138,93.965,87.499,82.972,88.852,92.696,83.568,81.998,94.773,95.205,101.140
64,88.412,91.116,89.851,90.996,84.598,111.743,100.118,94.639,94.796,105.770,97.550,102.057,114.595,92.449,88.885,102.609,94.064,87.653,83.125,89.588,92.846,84.852,81.604,94.891,96.674,101.057
65,88.352,91.597,89.712,90.070,85.374,112.672,100.876,93.391,94.478,106.609,95.882,102.516,115.058,92.000,89.222,101.377,93.887,87.206,83.422,89.116,93.762,84.416,82.019,94.776,95.099,101.239
66,88.683,91.725,89.572,90.890,84.475,111.452,101.356,94.141,94.656,106.412,96.920,102.089,116.031,92.563,88.475,101.184,93.627,87.530,83.382,89.382,93.513,84.826,81.812,94.375,95.571,100.604
67,88.556,91.178,90.170,90.234,84.525,112.235,101.828,93.674,95.388,106.995,97.406,103.281,115.291,92.201,88.585,101.947,94.284,87.510,83.238,89.205,94.017,85.013,81.491,94.260,96.757,101.301
68,89.421,90.872,89.273,90.483,85.309,112.507,100.581,94.280,93.657,106.019,97.535,102.752,115.381,92.236,87.735,101.028,94.225,87.454,83.511,89.077,92.774,84.640,81.414,94.924,96.377,101.254
69,88.763,91.668,90.013,91.066,85.119,112.443,100.899,93.458,94.405,106.154,97.455,102.120,114.736,92.129,88.335,102.754,94.589,87.130,83.442,89.531,94.257,84.232,81.589,94.186,95.787,101.614
70,88.827,91.592,89.512,90.778,84.642,112.332,101.026,93.481,94.003,106.659,97.064,102.274,115.321,92.497,88.569,102.593,93.823,87.262,84.209,89.619,92.534,84.896,81.904,94.760,96.034,101.760
71,88.536,91.251,89.827,90.078,84.641,112.604,100.038,93.468,94.961,107.832,97.057,101.610,114.962,92.416,88.780,101.740,93.739,88.284,83.723,89.629,93.834,84.249,81.241,95.147,96.394,101.285
72,88.951,91.943,90.002,90.818,84.443,112.058,101.537,94.449,93.879,106.280,96.542,102.260,114.989,92.030,89.012,102.584,94.274,87.515,82.928,89.454,92.361,84.836,81.652,95.032,95.315,101.838
73,88.508,91.588,89.492,90.669,84.039,111.977,100.648,93.414,94.323,106.521,96.658,102.517,115.777,92.368,88.513,102.175,94.264,87.662,84.338,89.338,93.774,84.621,81.942,94.946,96.279,102.033
74,89.224,91.050,89.336,89.804,84.683,112.721,100.381,93.850,94.264,106.161,96.535,103.140,114.885,92.112,88.319,101.940,94.755,87.501,83.652,88.713,93.751,84.718,82.122,94.308,95.903,100.970
75,89.305,91.218,89.132,90.166,84.535,113.160,100.767,93.903,94.338,107.227,97.050,102.908,115.300,91.787,88.735,102.170,93.840,87.315,83.745,89.579,93.278,84.254,81.841,95.161,96.177,101.175
76,89.019,92.130,89.800,90.317,84.508,112.224,100.041,93.632,94.090,106.744,97.396,102.275,115.337,92.617,87.738,101.575,94.334,88.626,83.697,88.696,93.150,85.007,81.264,94.182,96.214,101.510
77,88.393,91.024,89.907,89.611,84.209,111.990,100.277,93.775,93.677,107.135,96.488,102.509,114.939,92.409,88.674,102.409,93.464,87.747,83.114,89.033,93.575,83.812,81.548,94.372,96.214,101.770
78,88.690,91.118,89.627,90.379,84.299,111.915,100.381,93.771,94.457,106.209,96.363,102.373,115.238,91.952,89.604,101.864,93.855,87.141,83.412,89.308,93.480,84.006,82.065,95.169,95.462,101.412
79,88.683,90.555,89.952,90.593,84.630,112.835,101.437,92.947,94.225,108.005,96.540,103.046,114.790,91.926,88.110,102.034,93.684,87.192,83.751,88.770,93.401,84.630,82.247,94.601,95.806,101.955
