 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56
411,12.281,13.376,19.285,17.535,68.606,22.471,17.840,19.712,14.251,40.515,32.526,22.756,17.496,26.754,58.864,17.604,15.642,17.667,11.975,12.772,21.357,10.049,11.879,11.975,11.945,12.048,9.838,9.440,10.203,16.645,40.254,16.310,24.759,12.498,13.696,11.871,14.721,11.640,10.447,17.000,23.995,13.930,20.355,12.179,12.429,14.845,13.385,15.502,12.160,12.944,13.169,12.758,12.164,14.038,13.433,10.629
412,12.133,13.251,19.174,17.288,68.483,22.358,18.018,19.776,14.186,40.946,32.465,22.904,17.284,26.556,58.884,17.408,15.372,17.633,12.117,12.695,21.397,10.108,11.742,11.862,11.806,12.018,9.844,9.378,10.244,16.545,39.789,16.250,24.863,12.582,13.686,11.888,14.835,11.701,10.397,16.897,23.806,14.006,20.106,12.154,12.285,14.739,13.195,15.443,12.190,13.078,13.047,12.762,12.268,13.896,13.522,10.499
413,12.227,13.163,19.035,17.251,68.352,22.332,17.872,19.484,14.070,40.320,31.966,22.804,17.075,26.494,58.897,17.146,15.271,17.478,12.084,12.754,21.200,10.043,11.812,11.903,11.735,11.975,9.819,9.447,10.198,16.226,39.722,16.168,24.682,12.418,13.642,11.796,14.499,11.693,10.491,16.731,23.404,13.832,19.634,12.232,12.157,14.569,13.334,15.595,12.163,12.990,12.310,12.601,12.097,14.066,13.208,10.462
414,12.289,13.125,18.816,17.217,67.611,22.150,17.966,19.723,14.134,40.233,31.643,22.961,16.845,26.563,58.784,16.922,15.135,17.407,12.069,12.665,21.376,10.044,11.861,11.920,11.783,11.872,9.774,9.452,10.182,16.111,39.154,16.038,24.647,12.329,13.741,11.767,14.593,11.679,10.398,16.762,23.741,13.819,19.258,12.165,12.176,14.427,13.405,15.356,12.151,12.860,12.341,12.686,12.115,14.183,13.266,10.533
415,12.198,13.043,18.978,16.964,68.132,22.100,18.008,19.458,14.033,39.874,31.224,22.967,16.630,26.486,58.544,16.534,14.796,17.401,12.088,12.666,21.220,10.035,11.943,11.929,11.750,11.992,9.821,9.409,10.227,16.228,39.585,16.102,24.744,12.331,13.662,11.848,14.580,11.725,10.497,17.035,23.580,13.768,19.303,12.207,12.169,14.336,13.283,15.526,12.149,12.915,12.301,12.686,12.249,13.962,13.478,10.427
416,12.237,12.939,18.611,17.170,67.406,21.875,17.838,19.221,14.064,39.736,30.680,22.732,16.446,26.375,58.593,16.446,14.947,17.443,11.998,12.558,21.153,10.078,11.857,11.920,11.769,11.983,9.793,9.486,10.212,16.095,39.385,16.192,24.723,12.449,13.543,11.795,14.740,11.470,10.415,16.746,23.427,13.670,19.128,12.092,12.266,14.262,13.246,15.554,12.048,12.900,12.391,12.705,12.119,13.993,13.446,10.590
417,12.115,12.932,18.457,17.133,67.466,21.890,17.945,19.222,14.010,39.786,30.664,23.038,16.348,26.455,58.799,16.266,14.771,17.490,12.136,12.611,21.273,10.114,11.871,11.871,11.823,11.902,9.823,9.502,10.174,16.148,39.537,16.070,24.624,12.423,13.570,11.888,14.580,11.616,10.465,16.837,23.541,13.807,19.203,12.194,12.292,14.265,13.317,15.779,12.230,12.949,12.119,12.694,12.208,13.896,13.330,10.452
418,12.003,12.859,18.547,16.996,67.049,21.683,17.880,19.297,14.070,39.610,29.967,22.802,16.128,26.370,58.496,16.040,14.603,17.351,12.031,12.562,21.168,10.147,12.008,11.970,11.808,12.018,9.825,9.471,10.238,15.955,39.081,15.996,24.622,12.401,13.458,11.850,14.791,11.605,10.425,17.008,23.728,13.706,19.466,12.220,12.269,14.198,13.168,15.519,12.159,12.880,13.155,12.707,12.208,13.796,13.536,10.596
419,12.185,12.782,18.416,17.177,66.617,21.600,17.895,19.088,14.093,39.145,29.566,22.669,15.990,26.360,58.501,15.868,14.567,17.296,11.901,12.545,21.178,10.103,11.787,11.891,11.640,11.990,9.865,9.502,10.198,15.835,38.401,15.965,24.647,12.331,13.497,11.780,14.702,11.665,10.361,16.841,23.567,13.648,19.227,12.146,12.411,14.359,13.093,15.415,12.101,12.963,13.295,12.610,12.059,13.945,13.496,10.553
420,11.961,12.657,18.175,16.838,66.773,21.645,17.780,19.000,14.049,38.983,29.681,22.794,15.932,26.163,58.974,15.649,14.406,17.323,12.019,12.545,21.296,10.179,11.908,11.983,11.749,11.942,9.821,9.481,10.238,15.896,38.748,16.010,24.794,12.389,13.551,11.808,14.610,11.612,10.323,16.855,23.573,13.626,19.092,12.137,12.240,14.230,13.098,15.228,12.131,12.992,13.160,12.690,12.219,13.872,13.681,10.565
421,12.081,12.771,18.373,16.869,66.863,21.386,18.000,18.830,14.025,38.976,29.058,22.850,15.740,26.160,59.419,15.606,14.337,17.367,11.969,12.512,21.148,10.112,11.838,11.911,11.707,11.952,9.805,9.450,10.222,15.988,38.924,16.002,24.667,12.442,13.489,11.806,14.650,11.552,10.420,16.971,23.565,13.592,19.157,12.070,12.188,14.129,13.046,15.533,12.145,12.895,13.285,12.620,12.238,13.965,13.509,10.680
422,12.029,12.700,18.055,16.823,66.370,21.510,17.788,18.658,13.905,39.219,29.052,22.883,15.654,25.895,58.782,15.269,14.252,17.225,12.006,12.588,21.233,10.098,11.824,11.932,11.710,11.973,9.838,9.489,10.270,15.680,38.506,15.951,24.617,12.428,13.411,11.856,14.496,11.473,10.385,16.932,23.567,13.467,18.948,12.092,12.223,14.047,13.180,15.304,12.167,12.879,13.265,12.599,11.978,13.983,13.520,10.653
423,12.055,12.642,18.161,16.918,66.224,21.402,17.856,18.889,14.050,39.052,28.885,22.835,15.723,26.365,59.075,15.188,14.197,17.250,12.027,12.495,21.068,10.216,12.000,11.870,11.794,11.940,9.819,9.410,10.272,15.753,38.415,16.050,24.620,12.493,13.442,11.803,14.783,11.640,10.371,16.853,23.925,13.394,18.832,12.031,12.322,14.122,13.105,15.218,12.257,13.028,14.039,12.756,12.312,13.606,13.414,10.714
424,12.083,12.689,18.192,17.034,66.070,21.254,17.903,18.976,14.123,38.857,28.483,22.757,15.398,26.475,59.334,15.048,14.060,17.184,11.960,12.487,21.171,10.164,11.928,11.925,11.778,11.970,9.811,9.469,10.149,15.754,38.071,15.816,24.583,12.539,13.517,11.816,14.545,11.639,10.314,16.921,23.702,13.417,18.848,12.051,12.212,14.179,13.054,15.028,12.092,12.812,14.239,12.717,12.007,13.848,13.588,10.737
425,12.128,12.572,17.941,16.724,65.654,21.462,17.681,18.793,13.946,39.173,28.465,22.720,15.578,26.482,59.388,15.024,14.069,17.015,11.948,12.399,21.169,10.222,11.789,12.034,11.742,11.965,9.768,9.422,10.273,15.426,37.936,15.939,24.596,12.457,13.456,11.806,14.748,11.589,10.352,16.781,23.624,13.350,18.631,12.004,12.255,14.157,13.095,15.138,12.156,12.950,13.963,12.686,12.368,13.841,13.269,10.663
426,12.023,12.492,17.918,16.670,65.963,21.244,17.838,18.656,13.901,38.646,28.089,22.714,15.515,26.035,59.569,14.993,13.993,17.089,11.920,12.537,21.071,10.171,11.908,11.916,11.798,11.942,9.805,9.410,10.179,15.555,38.121,15.919,24.646,12.476,13.535,11.824,14.415,11.616,10.366,16.971,23.464,13.397,18.434,12.073,12.197,13.953,13.188,15.170,12.264,13.045,13.930,12.738,12.257,13.810,13.491,10.754
