 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39
299,73.763,67.544,83.091,85.918,79.733,106.130,80.963,119.730,147.332,109.712,136.642,110.183,123.723,93.241,102.776,100.455,108.878,140.781,129.983,113.182,147.000,79.894,73.929,119.657,76.798,85.134,104.653,127.201,166.067,87.267,86.237,126.661,101.279,99.143,125.279,84.424,109.909,104.727,89.462
300,74.402,67.622,82.276,84.910,79.381,105.597,81.791,119.488,145.192,109.167,137.227,109.632,124.221,93.579,102.929,100.449,108.019,141.251,129.525,113.330,147.519,78.867,74.427,118.492,77.195,85.279,104.270,127.511,164.866,87.982,85.869,127.781,101.714,98.959,125.885,84.332,111.332,105.967,89.246
301,74.402,67.247,84.028,84.862,78.503,106.416,80.466,118.891,143.507,108.833,136.329,109.009,123.646,93.430,103.055,100.543,107.981,140.839,129.637,113.866,146.725,79.425,74.910,119.152,77.379,85.419,103.850,126.971,164.088,87.270,86.635,126.709,100.554,99.547,124.713,83.832,110.728,105.697,89.562
302,73.295,67.626,82.862,83.708,78.838,105.831,80.812,117.325,140.192,109.553,136.923,110.207,124.456,92.291,102.688,100.138,108.843,140.544,130.422,114.309,146.155,79.512,73.934,118.291,77.365,84.324,104.871,127.887,163.910,87.682,86.423,128.462,100.810,99.446,124.926,84.234,112.711,105.299,89.134
303,74.118,67.389,83.587,83.589,79.167,106.190,80.103,118.686,138.910,109.391,136.441,110.338,123.538,92.944,102.348,100.850,107.693,141.660,130.843,112.526,146.396,80.013,74.251,120.382,78.440,85.414,104.174,128.619,163.633,88.409,86.708,128.160,100.728,99.562,124.484,83.379,111.789,104.373,87.763
304,74.590,67.533,82.201,82.438,79.425,106.255,81.213,117.602,138.482,109.748,136.058,110.536,123.221,93.189,102.793,99.028,108.752,141.412,129.877,112.787,145.267,79.704,74.374,119.152,77.289,85.925,104.284,127.892,163.490,88.056,86.298,127.399,101.133,98.124,126.258,85.097,111.129,105.638,88.653
305,74.390,66.723,81.972,82.114,79.153,104.892,80.969,118.423,139.107,109.332,134.454,109.102,126.085,92.471,102.143,100.768,108.030,141.480,129.998,113.564,145.318,79.950,75.185,119.846,77.455,86.524,103.991,129.845,165.129,88.050,86.567,128.838,100.848,98.567,126.168,84.442,110.720,104.066,89.532
306,74.476,67.049,82.591,81.878,79.158,106.113,81.213,118.988,137.859,110.326,136.770,109.961,123.956,93.091,102.983,100.130,107.585,140.461,130.723,112.911,146.538,79.352,74.028,118.759,77.671,85.857,104.362,128.187,163.467,87.181,86.208,127.567,100.666,98.118,126.676,84.661,110.750,104.199,89.164
307,73.647,67.092,82.913,82.798,78.401,105.139,80.147,118.147,136.051,110.211,136.553,110.686,122.921,92.252,102.805,100.398,108.096,140.240,129.350,112.746,145.078,79.963,74.640,117.555,77.426,84.588,103.042,128.504,163.815,87.623,86.782,127.587,101.211,99.269,124.336,84.279,110.504,103.373,87.875
308,74.816,66.471,83.697,82.249,79.865,105.835,81.031,118.856,137.856,108.851,135.776,110.877,124.462,92.770,103.570,99.610,108.089,139.856,130.118,112.574,145.246,78.724,74.664,118.241,77.888,85.338,104.052,126.990,163.242,87.605,85.753,128.376,101.201,98.472,125.057,84.713,109.586,104.218,88.495
309,74.008,67.254,82.693,81.469,78.318,105.325,80.356,118.544,137.761,109.671,137.176,109.057,123.464,92.718,102.594,99.780,109.260,139.212,129.309,111.959,145.409,78.977,74.550,119.495,77.007,86.070,105.204,129.160,164.212,86.442,85.571,127.436,100.368,98.906,125.750,84.913,110.203,102.923,88.155
310,74.627,66.918,82.339,81.753,78.573,104.740,80.094,118.440,137.670,109.113,136.486,109.108,123.354,92.306,103.551,100.392,107.112,140.342,131.299,111.900,144.612,79.688,73.360,119.097,76.996,84.503,103.615,127.516,164.386,88.104,86.612,126.687,101.207,98.981,126.213,84.653,110.022,102.347,87.979
311,74.816,66.989,82.350,82.488,78.538,106.009,81.241,118.053,138.025,109.103,135.901,109.653,124.315,92.759,103.541,100.900,107.850,141.856,128.843,114.361,145.909,80.465,73.564,118.288,77.292,85.975,104.089,127.238,163.961,87.837,86.064,127.179,100.743,98.969,126.176,84.192,112.948,103.229,88.517
