 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38
1273,87.531,82.379,91.156,51.158,79.823,78.476,59.992,38.574,52.660,67.140,72.041,65.532,34.284,72.828,30.132,61.774,39.773,56.253,46.349,44.014,42.399,61.978,45.716,47.932,36.679,34.499,35.759,37.819,39.818,32.602,54.697,41.446,40.490,32.996,42.741,36.784,41.081,31.691
1274,105.448,92.842,108.555,50.101,96.299,92.836,60.341,39.807,62.113,70.815,82.719,70.312,34.136,86.343,29.913,61.149,41.823,56.634,45.768,42.556,40.859,64.558,47.453,52.293,37.150,34.353,35.245,38.142,39.516,32.271,54.605,41.799,39.552,32.639,42.771,36.821,41.054,31.675
1275,115.135,98.008,122.995,46.097,80.571,76.987,59.182,37.207,54.585,61.294,72.640,58.683,34.494,78.985,29.153,59.290,41.922,56.002,42.068,38.915,38.848,60.629,45.095,48.177,36.206,33.931,34.306,37.512,39.170,32.415,54.026,41.431,38.540,32.605,42.558,36.581,41.474,31.340
1276,113.369,95.918,128.720,42.469,68.903,66.427,59.122,35.014,47.271,55.221,66.864,51.977,34.276,72.328,28.322,57.198,39.881,55.643,40.305,37.194,37.319,58.672,42.797,45.302,35.595,33.969,34.041,37.226,38.673,32.185,54.028,40.845,38.215,32.461,42.227,36.589,40.882,30.947
1277,101.928,85.060,119.825,38.836,61.600,59.465,58.505,33.507,42.021,50.711,57.905,46.282,33.975,67.033,28.406,56.501,38.078,56.472,39.096,36.025,36.221,56.837,41.491,43.777,34.841,33.796,33.929,36.753,38.617,32.283,53.836,40.379,38.221,32.308,42.641,36.504,40.916,30.682
1278,90.102,73.569,107.403,36.759,56.881,55.246,58.357,33.202,38.808,47.581,50.391,41.958,33.761,63.766,28.050,55.774,37.285,55.965,38.902,35.313,35.152,55.800,40.664,42.386,34.579,33.816,33.908,36.644,39.012,32.248,53.949,41.009,38.501,32.273,42.723,36.517,40.942,30.585
1279,80.037,66.447,96.389,35.763,54.637,52.088,58.076,32.543,37.081,45.837,45.356,39.727,33.745,61.405,27.975,56.332,36.560,56.025,38.570,35.081,34.663,55.677,40.599,41.492,34.159,33.816,33.654,36.455,38.733,32.319,53.685,40.889,38.342,32.295,42.636,36.648,40.929,30.382
1280,72.542,61.104,85.654,34.813,52.389,50.075,57.815,31.952,35.654,44.905,42.675,38.315,33.214,59.704,27.897,56.221,35.756,55.961,38.784,34.690,33.714,54.971,39.323,40.946,34.374,33.833,33.552,36.693,38.979,32.308,53.556,40.519,38.121,32.346,42.362,36.437,40.599,30.534
1281,66.646,58.210,79.365,34.535,50.962,48.321,57.771,31.877,35.365,44.206,41.527,37.644,33.675,58.089,27.820,56.054,35.501,56.000,38.487,34.905,33.801,55.128,39.409,41.133,33.997,33.840,33.902,36.259,38.667,32.127,53.636,40.542,37.637,32.262,42.762,36.101,40.496,30.384
1282,62.360,54.768,72.943,34.233,50.779,47.960,58.099,31.611,35.079,43.540,40.353,37.088,33.547,58.189,27.902,55.686,35.111,55.947,38.446,34.877,33.721,54.681,39.095,41.247,34.072,33.786,33.666,35.903,38.818,32.399,53.731,40.825,37.923,32.335,42.149,36.419,40.753,30.278
1283,58.844,52.104,70.209,34.142,49.717,47.498,58.224,31.672,34.912,43.438,39.767,37.060,33.914,56.547,27.589,56.003,34.900,56.475,38.353,34.384,33.098,54.965,39.151,40.769,33.956,33.733,33.528,36.105,38.360,32.316,53.574,40.939,38.271,32.452,42.430,36.469,40.996,30.318
1284,56.545,50.951,65.924,33.822,49.259,46.841,58.271,31.403,34.752,42.950,39.811,36.669,33.609,55.080,27.929,55.514,34.601,55.975,38.004,34.676,33.080,54.939,39.026,40.728,34.006,33.698,33.598,36.208,38.536,32.508,53.346,40.840,38.372,32.532,42.510,36.357,40.910,30.289
1285,54.176,48.608,64.180,33.710,49.387,46.431,58.484,31.650,34.528,42.872,39.016,36.606,33.728,54.861,27.952,55.661,34.499,56.369,38.116,34.961,33.105,54.101,38.905,40.380,33.997,33.671,33.646,36.105,38.631,32.216,53.259,40.781,38.313,32.430,42.595,36.755,40.886,30.453
1286,52.608,47.343,61.436,34.004,49.122,46.383,57.948,31.350,34.534,42.531,39.038,36.287,33.741,53.033,27.562,55.548,34.343,56.141,38.194,34.803,32.830,54.251,38.668,40.511,34.115,33.855,33.614,36.212,38.611,32.012,53.749,41.070,38.560,32.368,42.780,36.387,40.854,30.305
1287,51.089,45.834,58.848,33.813,49.071,46.119,57.826,31.347,34.598,42.713,38.659,36.368,33.671,52.053,27.790,55.350,34.294,56.074,38.251,34.486,32.964,54.576,38.547,41.073,33.885,33.700,33.725,35.932,38.826,32.326,53.595,41.067,39.142,32.439,42.744,36.301,40.657,30.589
