 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17
75,123.733,140.467,141.048,156.687,135.129,131.163,131.123,119.890,116.081,128.429,125.393,116.020,120.474,120.730,113.816,117.137,116.911
76,124.230,141.707,139.996,157.032,135.568,131.651,130.818,120.337,115.153,129.211,126.171,115.541,120.568,120.425,113.946,116.989,116.342
77,122.988,141.830,140.793,157.631,135.398,130.462,131.030,119.886,116.092,128.581,126.336,115.694,123.031,121.075,114.174,117.195,116.737
78,123.669,142.459,140.589,157.590,135.087,131.020,129.691,120.201,115.449,128.613,125.616,115.851,120.829,121.434,114.703,116.908,116.295
79,123.580,141.472,141.474,158.695,135.024,130.835,131.929,119.882,115.131,128.306,125.469,115.801,120.425,121.691,114.352,115.773,116.707
80,125.000,142.064,140.107,157.741,135.210,130.131,130.182,119.901,114.786,128.619,125.691,115.469,121.638,121.440,113.970,117.099,116.620
81,122.779,142.281,140.571,156.908,135.405,130.839,130.569,120.043,115.577,129.350,127.151,115.844,120.990,121.655,113.479,116.741,116.698
82,124.239,141.657,141.649,157.674,134.653,131.399,130.099,120.244,114.998,128.565,125.966,116.459,121.474,121.039,114.041,117.129,116.505
83,122.819,142.058,140.622,158.286,135.266,130.806,131.189,121.031,114.039,128.308,125.849,116.046,120.962,122.743,114.769,116.975,116.731
84,123.994,140.774,141.479,156.623,134.209,131.133,130.194,120.884,115.830,127.656,126.306,115.579,121.425,121.051,113.465,116.388,115.991
85,124.178,142.382,140.696,156.741,135.369,130.490,130.024,119.221,116.257,128.467,125.302,115.472,120.223,120.944,114.902,116.362,116.540
86,123.794,141.726,140.855,156.148,134.628,130.333,131.356,120.839,115.022,127.879,125.865,115.436,120.146,121.378,113.667,117.528,116.317
87,123.580,141.519,140.230,156.353,135.393,131.395,130.913,119.545,114.723,128.198,126.375,115.502,121.662,121.631,113.270,116.555,115.695
88,122.951,141.913,141.126,157.040,134.646,130.849,131.408,120.255,114.449,128.085,126.034,114.336,121.237,121.341,113.444,116.250,116.625
89,123.571,141.598,140.418,157.854,135.009,130.651,130.538,120.186,115.115,128.795,125.446,115.214,121.070,121.202,114.614,117.190,116.239
90,123.834,140.695,140.264,157.361,134.844,131.050,130.318,120.147,115.126,128.458,125.295,116.567,120.111,120.365,114.465,115.821,117.029
