 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13
110,156.752,124.639,112.820,123.334,139.219,168.815,163.344,143.756,128.744,147.567,87.933,130.027,145.347
111,157.437,124.204,112.146,126.484,140.427,171.136,162.757,144.530,134.780,149.389,87.469,129.097,143.297
112,156.714,122.849,111.879,125.381,142.460,170.653,160.600,143.653,133.763,148.375,87.592,130.471,141.038
113,157.380,123.916,113.710,123.803,138.760,171.396,163.280,146.974,133.014,149.757,89.064,130.670,138.848
114,156.433,126.437,113.337,126.600,140.521,169.220,166.651,144.835,131.061,146.386,86.450,130.034,140.799
115,158.736,126.775,113.632,125.349,140.514,171.175,162.744,145.979,133.295,148.198,88.181,128.951,141.600
116,158.965,125.816,111.982,124.345,142.338,173.629,163.514,147.058,134.146,149.609,87.887,131.678,141.855
117,159.022,123.265,112.824,124.842,142.781,171.780,161.052,146.466,133.117,148.650,87.548,131.923,140.946
118,161.208,125.729,114.469,123.039,141.987,172.899,164.457,145.272,131.265,149.350,87.444,131.650,142.475
119,156.254,121.400,113.586,126.863,143.775,171.237,159.725,146.942,131.516,148.705,88.741,132.224,144.410
120,160.319,124.571,113.478,128.570,143.568,174.675,164.938,147.487,133.187,149.149,88.570,128.865,143.403
121,156.757,126.775,114.073,127.193,141.214,172.882,160.808,144.580,130.817,149.848,88.084,131.280,142.403
122,158.378,125.076,112.837,122.891,141.138,170.424,160.413,147.453,133.434,148.091,90.180,131.497,143.828
123,157.430,126.408,113.291,129.150,141.301,169.114,164.460,146.598,133.250,148.448,89.958,132.793,141.468
124,159.069,127.104,116.614,124.439,142.868,173.015,162.040,142.698,133.203,149.307,88.417,131.683,141.745
125,159.465,126.547,113.347,125.332,142.783,174.166,163.946,147.121,133.117,152.206,91.061,132.106,142.162
126,157.373,127.188,114.776,123.420,144.163,175.453,161.831,145.985,132.550,147.162,88.114,132.060,141.866
127,160.408,126.055,112.066,125.760,142.516,173.552,164.232,146.643,133.692,150.331,89.225,131.471,141.962
128,158.717,127.204,112.243,123.424,141.280,174.019,163.918,142.360,131.430,148.921,88.656,132.909,142.309
129,156.778,126.024,112.487,123.120,141.309,172.618,163.648,147.250,135.521,149.213,87.184,133.278,141.171
130,161.329,126.239,114.249,123.349,143.005,171.739,165.209,148.434,133.201,150.286,90.387,130.740,142.482
131,158.359,125.100,111.469,128.214,141.289,173.394,159.929,145.250,132.677,149.268,89.903,128.657,141.185
132,161.550,125.349,113.228,124.837,144.744,170.821,162.302,147.667,133.432,149.784,87.884,133.880,138.865
133,161.821,125.775,115.909,125.328,142.696,173.341,165.351,146.043,134.266,150.116,89.700,131.514,143.041
134,157.466,129.753,112.780,126.281,140.481,174.806,163.171,148.056,134.250,150.252,86.705,133.038,140.102
135,161.175,128.155,112.422,124.355,140.597,171.683,163.791,147.510,133.063,150.816,89.767,132.936,142.235
136,158.203,128.622,113.721,125.349,142.426,170.045,160.100,144.829,133.371,146.997,87.470,130.238,140.821
137,157.620,127.573,112.519,122.480,141.969,174.409,161.712,146.444,134.829,151.866,87.197,131.278,141.283
138,162.665,127.078,113.155,124.709,141.057,173.058,163.817,146.302,135.574,152.645,88.550,129.718,142.021
139,162.752,128.016,115.832,121.287,142.268,172.121,162.673,147.029,133.419,152.555,89.292,130.631,142.808
140,160.348,129.488,114.430,128.424,145.212,173.313,163.076,146.351,134.903,150.963,89.570,131.495,141.731
141,161.604,129.857,113.744,125.940,144.155,172.599,163.958,147.496,134.703,151.296,89.089,130.692,139.990
142,160.137,129.867,115.155,131.552,143.777,171.664,166.201,145.292,135.909,150.019,88.741,132.466,145.331
143,160.086,128.061,111.392,127.478,142.396,171.828,162.945,146.995,132.547,149.651,90.805,130.982,142.522
144,162.673,127.241,113.553,127.996,146.148,174.201,162.145,145.936,133.372,150.530,89.052,131.546,144.447
145,160.924,128.825,115.047,127.407,143.028,171.062,164.112,147.200,134.056,148.188,89.537,131.073,140.650
146,159.239,126.688,113.700,128.649,143.943,173.403,165.471,150.104,137.254,153.788,92.959,131.475,143.027
