 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20
88,12.665,11.709,14.080,10.434,12.178,11.662,10.763,10.910,11.433,10.486,10.549,9.933,13.477,10.718,10.762,10.878,10.198,9.024,8.366,8.572
89,12.654,11.711,14.010,10.542,12.129,11.612,10.838,10.957,11.529,10.500,10.476,9.933,13.541,10.754,10.646,10.914,10.275,9.057,8.375,8.566
90,12.673,11.748,13.921,10.542,12.252,11.597,10.765,10.888,11.536,10.577,10.552,9.944,13.573,10.701,10.682,10.889,10.145,9.031,8.375,8.618
91,12.620,11.746,13.906,10.487,12.145,11.638,10.856,10.927,11.587,10.543,10.511,9.872,13.586,10.733,10.715,10.862,10.259,9.052,8.387,8.667
92,12.625,11.701,13.945,10.573,12.311,11.613,10.675,10.917,11.446,10.490,10.464,9.839,13.530,10.744,10.596,10.823,10.147,9.025,8.440,8.633
93,12.587,11.625,14.000,10.515,12.166,11.665,10.750,10.871,11.439,10.471,10.467,9.900,13.532,10.747,10.606,10.979,10.180,8.991,8.376,8.591
94,12.707,11.716,13.960,10.539,12.170,11.631,10.791,10.801,11.540,10.375,10.517,9.989,13.573,10.703,10.689,11.035,10.244,9.031,8.339,8.621
95,12.603,11.781,13.896,10.485,12.249,11.671,10.771,10.839,11.408,10.298,10.489,9.700,13.467,10.679,10.689,10.994,10.246,9.030,8.329,8.566
96,12.599,11.694,13.932,10.496,12.215,11.626,10.711,10.911,11.467,10.481,10.568,9.878,13.494,10.746,10.695,10.899,10.220,8.988,8.365,8.580
97,12.546,11.703,14.006,10.424,12.254,11.697,10.680,10.863,11.419,10.481,10.628,9.689,13.455,10.810,10.570,10.913,10.226,9.067,8.401,8.595
98,12.594,11.753,13.895,10.521,12.121,11.634,10.742,10.782,11.526,10.543,10.565,9.844,13.511,10.724,10.487,10.888,10.174,9.001,8.341,8.611
99,12.584,11.681,13.880,10.448,12.213,11.689,10.716,10.849,11.419,10.423,10.514,9.878,13.495,10.743,10.619,10.912,10.198,9.033,8.368,8.632
