 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16
178,92.796,97.397,87.234,109.760,105.299,103.926,94.390,96.495,91.887,91.668,100.049,96.864,101.378,95.346,94.823,90.110
179,94.966,98.198,87.589,108.413,105.347,103.689,94.612,96.195,92.317,91.689,98.624,96.318,101.771,96.051,94.646,90.293
180,95.046,97.013,87.481,109.289,107.339,104.421,95.396,97.059,93.529,91.821,99.046,95.593,102.583,96.681,95.169,90.284
181,96.162,97.899,87.570,110.654,107.203,105.019,95.612,96.321,92.812,92.705,99.376,96.628,102.291,97.697,95.063,90.958
182,98.309,99.221,88.399,112.432,110.559,105.831,95.493,96.535,94.097,93.506,105.966,102.273,105.739,98.178,96.439,92.357
183,98.351,98.279,88.906,113.920,112.646,107.413,96.477,96.703,93.232,94.246,106.188,102.433,105.410,99.024,95.975,92.749
184,97.749,98.796,87.880,115.361,116.417,106.486,97.632,96.316,93.364,94.142,103.879,100.195,105.350,101.460,96.056,92.267
185,97.357,97.362,88.616,114.287,114.890,106.060,97.370,96.543,94.113,94.373,101.987,99.113,103.906,102.064,95.634,91.674
186,97.800,97.141,88.478,114.333,115.288,106.566,97.789,96.545,94.010,94.399,100.770,98.542,104.385,101.875,95.200,91.240
187,96.914,96.535,88.495,114.082,115.322,105.776,98.523,96.805,94.036,94.352,99.974,97.932,103.853,100.846,94.713,90.306
188,95.643,97.739,88.409,113.592,113.074,104.470,98.416,95.979,93.366,93.474,99.397,97.193,102.380,100.880,94.664,91.181
189,95.663,96.663,88.217,112.486,113.326,104.404,98.026,96.751,92.996,93.517,98.925,96.250,102.239,101.048,94.479,90.487
190,95.419,97.216,88.568,112.173,111.928,102.609,98.006,96.348,93.040,93.573,98.894,96.460,102.387,102.410,94.167,90.348
191,95.485,96.271,88.318,112.670,110.242,102.270,97.821,96.310,93.174,92.793,98.003,96.417,101.709,100.782,94.339,90.097
192,95.220,96.593,87.840,110.970,109.297,102.019,97.012,96.495,93.046,92.384,98.108,96.889,100.667,100.976,93.616,90.498
193,94.483,96.769,87.780,110.991,108.169,101.929,96.877,97.174,93.356,91.630,98.462,95.653,100.594,101.670,93.983,89.998
194,94.361,96.505,87.396,109.337,107.492,101.402,97.412,95.794,92.408,91.718,97.962,95.840,99.895,101.295,94.218,90.319
195,93.894,96.302,87.795,109.417,107.123,102.041,96.823,96.741,92.505,90.947,97.812,96.427,100.164,101.210,93.661,90.117
196,94.026,96.530,86.613,107.052,105.962,101.227,95.781,95.789,92.073,91.290,98.507,95.333,99.192,101.465,93.595,90.075
197,92.836,95.980,87.396,108.132,105.826,100.216,96.569,97.628,91.947,91.105,98.248,95.883,98.639,99.702,93.314,90.370
198,93.030,96.289,87.423,107.218,104.748,100.806,96.437,96.527,91.527,90.869,97.868,95.335,97.893,99.801,93.018,89.844
199,92.934,96.377,87.142,108.283,104.867,100.822,96.249,96.519,91.463,90.745,97.619,95.236,97.241,99.497,92.868,89.687
200,92.756,96.382,87.546,107.592,105.280,100.396,95.410,96.917,91.477,91.276,97.526,95.306,97.699,99.229,93.094,89.529
201,91.800,95.967,86.154,107.073,105.894,100.828,94.893,96.291,91.608,91.558,97.958,95.158,96.602,99.162,92.659,90.260
202,92.008,96.214,87.067,106.946,104.593,101.175,94.755,95.655,91.275,90.971,98.346,95.596,96.660,99.386,92.615,90.211
203,92.052,96.849,86.792,107.350,104.403,101.139,94.630,95.832,90.719,91.368,97.866,95.706,96.838,99.170,92.253,90.282
204,91.842,94.869,86.901,106.069,103.246,100.724,94.256,96.634,91.269,91.078,97.583,95.536,96.727,98.460,92.575,90.449
205,91.018,97.146,87.003,106.337,103.964,101.650,94.107,97.040,90.642,91.389,97.629,95.969,96.474,97.952,91.968,89.088
206,90.970,96.063,86.589,105.382,104.286,100.049,94.380,96.070,91.214,90.743,97.908,95.563,96.081,97.465,92.362,90.161
207,90.754,96.304,87.039,105.886,104.744,101.071,93.499,95.949,91.493,91.900,97.103,95.879,96.289,98.614,92.463,89.839
208,90.888,96.322,87.019,106.307,104.631,100.568,93.968,96.660,90.006,90.550,97.788,95.341,96.586,97.383,92.299,89.773
209,90.539,96.500,87.103,105.041,104.066,100.921,93.539,96.078,90.731,90.817,97.750,95.435,95.823,97.117,91.990,88.553
210,90.287,95.681,87.090,105.179,103.591,100.437,93.348,96.949,90.731,90.378,97.343,95.852,95.586,97.854,92.073,89.526
211,90.146,96.417,86.763,105.559,104.172,100.702,92.789,94.979,90.250,91.686,97.307,96.312,96.553,96.439,92.462,89.278
212,89.365,96.186,86.957,105.095,103.517,100.251,93.461,96.356,90.463,91.102,97.899,95.374,95.810,96.777,92.362,89.863
213,89.898,95.714,87.310,104.471,103.985,100.410,92.946,95.564,91.149,91.330,97.636,96.363,96.214,96.500,92.373,89.141
214,89.421,95.651,87.175,104.533,103.850,99.716,93.308,95.553,90.150,90.501,97.477,95.741,96.327,97.245,92.138,89.674
215,90.114,96.178,87.163,105.089,103.604,100.254,92.944,96.567,90.642,90.907,97.601,95.801,95.803,95.572,92.747,89.586
216,89.577,95.643,87.253,104.359,103.864,100.372,92.722,96.005,90.772,91.330,97.801,95.290,95.515,95.801,91.995,89.711
217,89.593,95.887,86.478,105.257,103.186,100.574,92.559,96.888,90.560,90.974,97.953,95.548,96.976,95.824,92.366,89.317
218,89.124,96.332,86.645,104.816,104.136,101.008,91.370,95.602,90.719,91.139,97.258,95.513,96.355,96.465,92.333,89.758
219,88.679,96.244,86.606,104.952,103.407,100.068,92.237,96.147,90.168,90.702,97.515,96.148,96.128,95.926,92.110,90.086
220,88.679,95.852,86.684,104.929,103.695,99.754,91.831,96.278,90.273,90.919,97.641,95.094,96.594,95.484,91.825,89.073
221,88.711,95.799,86.298,104.037,103.528,100.281,91.915,96.203,90.667,90.630,97.703,94.943,96.216,95.154,92.000,89.826
222,88.545,95.899,86.964,104.184,103.089,100.383,91.594,95.952,90.752,91.134,97.601,95.240,95.754,96.138,91.808,90.236
223,89.034,95.648,86.654,104.380,104.117,100.219,91.443,96.246,89.899,91.470,97.904,95.651,96.171,95.423,92.644,89.339
224,88.768,95.766,86.483,104.940,103.436,99.934,91.354,95.086,90.974,90.925,97.574,95.799,96.064,95.766,92.016,90.260
225,88.663,95.709,86.841,104.564,102.831,100.071,91.598,95.858,90.406,91.008,97.817,94.897,96.457,95.463,92.007,90.187
226,89.164,96.294,86.730,104.557,103.538,99.653,91.901,96.858,90.550,90.858,97.688,95.860,96.429,95.782,92.253,89.782
227,88.240,96.440,86.958,103.849,104.339,100.090,92.300,95.968,90.950,89.967,97.686,94.959,96.148,95.346,91.993,89.804
228,88.014,96.590,86.742,103.881,103.811,100.437,91.479,95.594,90.202,90.871,97.742,95.680,95.870,94.572,91.814,90.020
229,88.880,95.201,86.688,103.950,102.824,99.650,91.308,96.348,89.913,90.077,97.227,95.795,96.498,94.705,92.389,90.062
230,87.581,95.781,86.748,105.160,103.585,101.112,92.406,96.607,90.008,90.711,97.899,95.509,95.844,94.548,91.951,90.099
231,88.743,95.842,86.904,103.555,104.076,100.708,91.913,95.618,90.168,90.255,97.644,95.224,95.773,95.152,91.740,89.901
232,89.002,96.146,86.772,104.333,102.862,100.385,91.590,95.941,89.846,91.010,97.487,94.546,96.186,95.184,92.283,90.079
233,88.303,96.709,86.367,103.097,103.761,100.333,91.252,95.572,90.226,90.879,97.288,96.012,96.291,94.814,92.105,89.678
234,88.747,96.741,86.702,103.359,103.644,100.475,91.751,95.321,90.646,91.147,97.557,95.600,96.216,94.316,91.699,89.971
235,88.313,95.254,86.223,103.328,103.477,100.546,91.441,97.005,90.628,91.123,97.495,95.460,95.914,94.346,91.828,89.758
236,88.327,95.668,86.558,103.171,103.909,100.675,91.406,95.668,90.891,91.040,97.523,95.869,95.823,95.080,91.761,89.989
237,87.844,95.897,86.270,103.201,103.278,100.156,91.197,95.366,90.572,90.738,97.975,95.708,96.605,94.144,91.994,89.976
