 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
130,73.340,72.629,62.865,73.099,62.232,58.858,59.245,65.434,75.140,65.743
131,66.343,68.513,62.827,67.962,60.282,56.765,57.790,63.292,74.184,63.759
132,68.841,70.525,62.773,70.256,60.720,58.000,58.487,64.191,74.763,65.056
133,71.687,72.299,63.016,72.214,61.786,58.904,58.987,65.145,75.924,66.165
134,73.816,73.088,63.351,72.334,62.139,59.093,59.341,64.989,75.368,66.229
135,74.559,72.296,62.606,72.101,61.589,58.861,59.907,66.571,74.979,66.743
136,74.800,72.397,63.157,71.240,61.060,58.199,59.136,65.568,75.241,66.711
137,74.894,72.685,62.310,72.160,62.174,58.868,59.555,64.995,75.466,66.116
138,74.883,72.371,63.237,71.515,62.005,58.548,60.137,65.962,75.346,66.245
139,74.722,73.058,63.382,72.120,62.005,58.552,59.508,65.650,74.840,66.743
140,74.161,73.190,62.394,72.654,61.955,58.363,59.348,66.189,75.308,66.309
141,73.375,73.346,63.176,72.779,62.008,58.626,59.997,65.645,75.955,66.004
142,74.621,72.313,62.857,72.009,61.977,59.530,59.430,65.926,75.439,66.402
143,74.092,73.437,63.094,71.880,62.123,58.164,59.344,65.421,75.250,66.345
144,74.434,72.777,62.816,72.115,61.997,59.306,59.459,65.041,76.174,66.349
145,74.699,73.124,62.900,71.986,62.048,58.975,59.762,65.339,75.463,67.526
146,74.729,73.135,63.294,72.071,61.662,58.694,59.147,64.877,75.040,65.892
147,74.209,73.127,62.867,72.198,62.252,59.082,59.651,65.301,75.729,66.426
148,73.749,72.925,62.527,72.275,62.589,58.502,59.783,64.940,75.833,66.145
149,75.253,72.476,62.718,71.998,62.101,58.491,59.947,65.669,75.795,66.325
150,74.991,73.505,62.496,72.125,61.957,58.932,60.053,64.817,75.730,65.241
151,74.786,73.531,62.806,71.911,61.675,58.705,59.647,64.956,75.091,66.369
152,74.359,72.610,62.663,71.934,61.940,59.000,59.411,65.145,75.581,65.807
153,75.156,72.342,62.665,71.758,61.736,58.957,59.609,65.251,75.200,65.683
154,73.855,71.160,62.114,69.511,60.428,57.573,59.575,65.762,73.112,62.823
155,74.754,72.652,62.259,71.600,61.529,58.569,59.485,65.161,75.094,64.667
156,74.954,72.845,62.651,70.353,61.300,58.516,59.662,65.415,73.372,65.092
157,74.966,72.487,62.394,70.308,61.509,58.609,59.510,64.913,73.080,64.209
158,74.789,71.107,62.333,69.647,60.615,58.669,59.507,65.175,73.145,63.554
159,73.811,72.487,61.994,69.873,61.113,58.562,59.392,65.582,72.775,62.847
160,74.398,71.751,62.614,70.012,61.607,58.018,59.517,65.194,73.036,62.755
161,73.731,71.354,62.461,69.191,60.509,58.441,59.207,65.208,73.096,63.394
