 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35
605,23.296,24.123,23.433,42.585,24.499,22.547,23.115,28.585,27.410,27.951,25.303,30.191,29.932,22.387,26.849,28.953,26.533,25.642,63.921,98.541,85.724,46.666,37.578,27.262,28.731,35.311,24.340,25.228,27.369,25.423,23.044,22.035,24.793,26.114,26.367
606,23.246,23.942,23.465,42.231,24.290,22.455,23.253,28.665,27.166,27.853,25.134,29.658,29.551,22.523,26.442,28.739,26.290,25.727,63.577,98.159,84.388,46.089,37.275,27.116,28.588,35.265,24.366,25.210,27.251,25.356,23.074,22.277,24.930,26.193,26.325
607,23.372,23.750,23.302,41.986,24.379,22.479,23.155,28.536,27.293,27.795,25.179,29.014,29.320,22.477,26.230,28.502,26.194,25.742,63.030,97.791,82.945,45.328,37.049,27.236,28.571,35.301,24.384,24.994,27.219,25.207,23.023,22.235,24.972,26.279,26.020
608,23.247,23.752,23.387,41.786,24.247,22.415,23.112,28.652,27.375,27.966,25.129,28.629,29.081,22.544,26.112,28.471,26.104,25.693,62.430,97.614,81.747,45.051,37.358,27.409,28.400,34.874,24.393,25.253,27.129,25.269,23.014,22.223,24.993,26.090,25.861
609,23.288,23.627,23.413,41.115,24.325,22.470,23.142,28.316,27.199,27.854,25.111,28.228,28.526,22.515,25.801,28.052,25.922,25.517,61.820,96.777,79.589,44.392,37.114,27.422,29.073,34.528,24.431,25.162,27.211,25.091,22.975,22.335,25.014,26.103,25.701
610,23.241,23.590,23.473,40.803,24.187,22.443,22.988,28.162,27.313,27.807,25.194,27.771,28.304,22.382,25.702,27.874,25.949,25.881,61.776,96.457,79.088,43.909,37.117,27.329,28.767,34.460,24.397,25.218,27.075,25.024,22.892,22.310,25.000,26.136,25.403
611,23.214,23.493,23.275,41.035,24.135,22.390,23.035,28.137,27.040,27.996,25.296,27.433,27.932,22.346,25.554,27.882,25.912,25.661,61.586,95.108,77.373,43.242,37.178,27.018,28.314,34.194,24.319,25.034,26.927,24.969,22.995,22.388,24.789,26.035,25.588
612,23.249,23.475,23.403,40.534,24.341,22.427,23.123,28.096,27.188,27.981,24.898,27.277,27.685,22.446,25.485,27.680,25.975,25.422,60.618,95.079,76.329,43.049,36.881,27.013,28.408,34.033,24.336,25.118,27.059,24.976,22.911,22.392,24.883,26.118,25.491
613,23.212,23.562,23.247,40.632,24.087,22.312,23.116,27.919,27.166,27.924,25.057,26.774,27.698,22.505,25.558,27.623,25.822,25.456,60.565,94.658,75.317,42.506,37.136,27.267,28.706,33.765,24.226,25.030,27.012,25.100,22.905,22.369,24.883,26.116,25.515
614,23.302,23.481,23.257,40.140,24.256,22.310,23.036,27.950,26.954,27.853,25.005,26.741,27.565,22.577,25.177,27.360,25.752,25.514,60.356,95.044,74.308,42.360,37.199,26.929,28.535,33.939,24.401,25.052,26.966,25.027,22.999,22.312,24.796,26.156,25.170
615,23.226,23.412,23.465,39.937,24.188,22.400,22.974,27.936,27.179,27.848,25.199,26.322,27.215,22.356,25.256,27.626,25.845,25.381,59.327,94.384,73.335,41.719,37.121,27.196,28.416,33.841,24.403,24.992,26.738,24.817,22.887,22.406,25.134,26.222,24.993
616,23.156,23.495,23.462,39.597,24.196,22.366,22.945,27.938,27.161,28.039,24.955,26.263,27.060,22.415,24.921,27.423,25.591,25.224,58.727,93.866,72.517,41.900,37.095,27.449,28.629,33.240,24.257,25.124,26.923,24.666,22.716,22.367,24.897,25.987,25.071
617,23.171,23.354,23.282,39.450,24.200,22.316,23.050,27.846,27.040,27.918,25.269,26.270,26.683,22.359,24.778,27.191,25.647,25.444,58.650,93.211,71.077,41.283,37.110,27.102,28.698,33.106,24.336,25.218,26.876,24.984,22.880,22.419,24.920,26.051,25.055
