 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34
777,16.705,18.847,35.392,11.880,22.417,21.435,16.024,11.162,11.770,14.803,12.837,12.681,17.808,17.612,12.844,11.295,19.952,9.968,9.872,10.257,12.091,12.691,11.325,11.222,12.791,13.810,11.769,10.920,10.988,10.513,12.997,15.921,10.402,11.900
778,16.413,18.640,34.748,11.852,22.057,21.570,15.714,11.092,11.675,14.529,12.652,12.525,17.604,17.744,12.819,11.277,19.964,9.923,10.017,10.196,12.192,12.699,11.271,11.206,12.718,13.418,11.701,10.992,10.926,10.521,12.863,15.663,10.278,11.955
779,16.105,18.703,34.430,11.880,21.983,21.536,15.562,11.070,11.626,14.324,12.477,12.366,17.390,17.436,12.667,11.279,19.772,9.863,9.914,10.132,12.114,12.644,11.384,11.174,12.691,13.351,11.701,10.975,10.877,10.514,12.749,15.602,10.161,11.905
780,16.892,18.621,33.625,12.847,22.244,21.513,15.654,11.083,11.543,14.171,12.432,14.798,17.502,16.515,12.579,11.263,19.697,10.100,9.950,10.521,12.180,12.569,11.341,11.176,12.797,13.610,11.791,11.295,10.912,10.488,12.907,15.901,10.362,11.875
781,16.568,18.495,33.817,12.520,22.391,21.533,15.519,11.583,11.530,14.069,12.452,15.858,17.880,17.575,13.293,11.273,19.269,10.413,9.975,10.762,12.204,12.570,11.400,11.242,12.784,13.418,12.118,11.278,10.925,10.566,12.872,15.961,10.468,11.940
782,16.151,18.616,34.318,12.370,22.405,21.518,15.723,12.711,11.773,13.886,12.278,15.456,17.834,16.686,12.935,11.240,19.036,10.480,9.872,10.596,12.294,12.662,11.316,11.196,12.632,13.105,12.304,11.185,10.898,10.535,12.942,15.816,10.653,11.882
783,15.989,18.612,34.511,12.117,22.342,21.568,15.516,13.172,11.726,13.715,12.105,14.970,17.508,15.826,12.681,11.277,18.952,10.291,9.827,10.551,12.423,12.586,11.331,11.264,12.649,13.126,12.195,11.171,10.905,10.527,12.866,15.683,10.461,11.731
784,15.568,18.475,35.131,12.094,22.463,21.474,15.366,13.083,11.569,13.697,12.181,14.630,17.280,15.174,12.335,11.200,18.666,10.304,9.894,10.472,12.489,12.442,11.241,11.200,12.610,12.954,11.833,11.075,10.930,10.507,12.793,15.778,10.360,11.702
785,15.328,18.441,34.881,11.939,22.236,21.624,15.118,13.254,11.623,13.578,12.124,14.137,17.224,14.675,12.114,11.257,18.242,10.214,9.864,10.325,12.401,12.622,11.196,11.279,12.718,12.787,11.847,10.976,10.940,10.535,12.848,15.821,10.232,11.637
786,15.178,18.353,34.796,11.883,21.702,21.505,14.950,13.159,11.535,13.506,12.059,13.734,17.109,14.615,11.977,11.158,18.291,10.271,9.911,10.287,12.461,12.493,11.347,11.245,12.758,12.621,11.758,10.976,10.919,10.513,12.851,15.716,10.190,11.512
