 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24
42,64.581,57.995,59.564,70.567,91.049,63.733,64.571,62.336,57.403,63.802,70.010,80.936,80.394,74.284,90.593,90.471,62.945,63.535,65.661,59.542,53.513,63.028,68.625,69.679
43,64.192,57.788,59.262,70.996,90.524,63.631,64.017,62.274,57.190,64.127,69.859,80.819,80.591,73.999,91.604,89.854,62.717,63.417,65.479,59.371,53.355,62.880,68.367,69.117
44,64.386,57.498,58.844,70.038,90.036,64.080,63.699,62.051,57.282,63.927,69.156,80.282,79.841,73.580,91.353,92.403,62.836,63.526,66.282,59.801,53.485,63.176,68.555,68.644
45,64.227,57.784,59.199,70.433,92.249,63.933,64.400,62.539,57.272,63.666,69.652,80.717,80.577,73.042,90.697,93.867,62.688,63.157,66.040,59.434,53.734,62.937,68.692,69.197
46,64.348,57.962,59.072,69.860,90.558,63.474,63.814,62.584,57.054,63.894,69.849,80.690,80.556,72.772,89.060,91.596,63.095,63.060,65.768,59.626,53.405,63.109,68.742,68.679
47,64.428,57.638,58.947,69.864,89.374,63.762,64.477,62.241,57.196,63.877,69.795,81.036,80.529,72.367,87.851,89.049,63.081,63.213,65.726,59.472,53.646,63.062,68.146,69.433
48,64.323,57.891,58.857,70.104,91.467,64.078,64.378,62.464,57.377,64.213,70.356,80.983,80.715,72.275,90.109,88.678,62.963,63.512,66.182,59.147,53.549,63.193,68.812,69.234
49,64.489,57.701,59.168,70.551,90.991,63.735,63.897,62.445,57.355,64.298,69.667,80.835,80.555,72.068,89.071,92.218,62.861,63.754,66.105,59.122,53.424,63.013,68.650,69.630
50,64.280,57.695,59.523,69.573,89.398,63.750,63.817,62.624,57.253,63.844,69.286,80.749,80.263,73.184,87.563,91.087,62.712,63.228,65.405,59.570,53.473,63.098,68.613,69.417
51,64.105,57.843,58.632,70.347,91.298,64.034,64.749,61.887,57.206,64.236,69.681,80.525,80.500,73.873,86.019,90.804,63.185,63.440,65.833,59.521,53.718,63.210,68.919,69.862
52,64.436,57.768,59.168,70.324,90.312,63.764,64.272,62.271,57.652,63.927,69.612,81.153,80.400,73.334,85.308,94.465,63.364,63.432,65.774,59.294,53.696,63.020,68.910,69.937
53,64.281,57.828,58.645,70.147,89.380,63.825,63.819,62.752,57.162,63.628,69.178,81.006,80.830,74.411,84.016,92.695,62.808,63.111,66.046,59.853,53.493,63.354,68.686,69.337
54,64.378,57.693,59.206,69.564,91.602,63.839,64.063,62.504,57.199,63.667,70.057,81.118,81.239,74.802,83.245,90.836,62.910,63.149,66.098,59.353,53.384,63.109,69.137,69.239
55,64.289,58.023,58.919,69.538,90.791,63.645,64.154,62.433,57.520,64.236,69.407,81.465,80.727,73.917,82.354,93.582,63.126,63.094,66.056,59.364,53.404,63.058,68.961,69.541
56,64.364,57.849,59.193,69.962,87.926,63.422,63.856,62.136,57.142,63.933,69.368,80.681,80.557,75.049,81.573,91.844,63.191,63.204,66.104,59.895,53.528,62.817,68.000,69.213
57,64.593,57.788,58.963,69.276,91.470,63.956,64.494,62.359,57.436,64.283,69.810,81.203,80.781,74.781,80.930,91.139,62.591,63.257,65.844,59.490,53.607,62.944,68.622,69.049
58,64.575,57.951,58.863,69.076,91.101,63.899,64.398,62.951,57.308,64.352,70.657,81.036,80.994,74.145,82.233,89.139,62.906,62.954,65.888,59.962,53.835,63.384,69.115,69.117
59,64.389,58.029,59.583,69.442,89.128,63.869,64.198,62.527,57.340,63.771,69.521,81.149,80.912,73.649,82.510,88.773,62.895,63.176,65.879,58.794,53.519,63.172,69.115,69.567
60,64.343,57.692,59.567,69.642,90.936,64.136,64.244,62.434,57.165,63.755,70.022,81.113,80.857,73.407,82.547,92.732,63.318,63.322,66.130,59.462,53.650,62.957,68.779,69.021
61,64.643,57.885,58.520,69.742,90.887,64.055,64.246,62.720,57.374,64.239,69.896,80.990,80.852,72.988,80.786,91.782,63.117,63.187,65.589,59.374,53.521,62.965,69.000,68.848
62,64.810,57.984,59.184,69.936,88.680,63.594,63.809,62.161,57.281,64.065,69.086,80.782,80.239,72.024,81.472,90.480,62.993,63.587,65.733,59.626,53.496,63.430,67.980,69.288
63,64.473,58.132,58.673,69.398,90.471,64.122,64.022,62.543,57.190,63.840,69.398,80.971,81.171,73.734,83.066,92.978,63.190,63.402,65.939,59.909,53.680,63.042,68.832,69.152
64,64.369,57.967,59.069,69.280,89.748,63.982,64.106,62.394,57.241,63.666,69.844,81.176,80.808,73.753,81.198,91.560,63.271,63.263,66.123,58.997,53.743,63.037,68.566,69.059
65,64.452,57.960,59.283,70.429,91.104,63.777,64.439,62.712,57.238,64.202,69.914,81.390,81.421,73.738,81.157,90.945,63.140,63.324,66.088,59.336,53.593,62.863,69.546,69.141
66,64.304,57.867,59.249,69.969,91.846,64.326,64.749,62.659,58.145,64.389,69.852,81.397,81.696,73.630,83.535,93.273,63.119,62.851,66.316,59.605,53.413,63.256,68.770,69.653
67,64.637,58.042,58.604,70.091,92.719,64.131,64.850,62.766,59.878,64.246,69.958,81.322,81.187,72.971,83.044,93.982,63.162,63.101,65.654,59.766,53.434,63.133,68.863,69.241
68,64.693,57.654,59.069,69.649,91.672,64.246,64.653,62.588,59.932,64.260,70.158,81.387,80.986,74.174,85.560,90.683,62.974,62.755,66.139,59.997,53.589,63.270,68.557,69.143
69,64.530,57.864,59.090,69.651,92.576,63.856,63.962,62.237,59.200,64.186,69.815,80.891,80.765,74.229,86.357,89.337,62.964,62.463,65.718,59.479,53.456,63.177,68.507,69.213
70,64.589,57.473,59.025,69.747,90.698,63.812,63.694,62.814,58.837,64.256,69.728,81.328,80.595,73.412,89.641,88.258,63.193,62.618,66.323,60.021,53.783,63.344,68.008,69.091
71,64.539,57.721,59.514,70.253,91.064,63.942,64.362,62.479,58.054,64.200,69.279,81.147,80.744,73.042,91.321,90.111,63.400,62.714,65.995,59.668,53.217,63.069,68.106,69.326
72,64.702,58.038,59.218,69.198,93.110,63.913,64.275,62.603,58.002,64.092,69.919,81.194,80.727,72.931,91.172,92.597,62.836,62.572,66.258,59.441,53.642,63.642,68.255,69.253
73,64.543,57.848,59.143,69.389,91.152,63.543,64.203,62.641,57.680,63.974,69.622,80.999,80.974,72.273,89.585,90.409,63.087,62.803,65.856,58.888,53.430,63.181,69.188,69.611
74,64.499,57.889,58.530,69.607,91.000,63.861,64.002,62.803,57.563,63.810,69.519,81.297,80.986,73.695,88.437,88.728,63.035,62.572,65.970,59.864,53.433,62.996,68.630,69.169
75,64.555,57.778,59.146,69.667,92.550,64.057,64.015,62.752,57.399,63.789,69.432,81.199,80.939,74.310,90.127,89.393,63.058,62.887,65.693,59.899,53.511,62.791,69.311,69.422
76,64.394,57.960,59.184,69.491,91.022,63.766,64.038,62.291,57.273,63.883,69.726,81.220,80.920,73.678,91.327,93.252,63.181,62.885,66.388,59.241,53.545,63.417,68.703,68.831
77,64.659,57.958,59.293,69.524,91.237,63.782,63.938,62.781,57.309,63.685,69.728,81.577,81.272,73.612,90.396,90.911,63.070,63.087,66.481,59.479,53.468,63.033,69.204,69.422
78,64.544,57.747,58.717,69.824,92.312,63.947,63.976,62.754,57.245,63.655,70.575,81.577,81.303,73.897,89.280,89.468,63.184,63.296,66.128,59.063,53.413,63.336,68.678,68.684
79,64.527,57.648,59.178,69.140,91.615,64.185,64.096,62.589,57.569,63.895,69.625,81.378,81.010,74.510,90.959,90.069,62.950,63.011,65.786,59.997,53.617,63.235,68.759,69.581
80,64.693,57.826,59.636,69.738,90.811,63.916,64.142,62.445,57.409,63.645,69.817,81.295,80.716,74.058,89.764,93.560,63.068,62.680,65.932,59.867,53.465,63.240,68.101,69.321
