 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30
773,65.060,80.854,76.420,78.274,75.870,78.872,81.189,73.898,97.338,87.033,81.491,119.511,100.999,81.802,106.486,83.654,82.230,91.885,77.893,84.104,80.821,71.924,73.007,74.544,68.050,73.588,68.068,88.651,62.858,72.968
774,64.776,80.940,76.250,78.252,75.376,78.551,80.518,73.382,97.387,86.719,81.240,122.179,101.186,81.364,107.298,83.623,82.347,92.918,78.422,84.772,81.688,73.071,72.182,74.230,67.818,73.998,68.249,88.973,62.973,73.220
775,65.157,81.246,76.166,78.159,74.686,79.179,80.428,73.930,97.254,87.166,81.517,122.215,100.164,82.034,108.152,83.353,82.062,92.674,78.503,84.651,81.338,73.071,71.934,74.405,68.124,73.202,67.801,88.568,63.272,73.505
776,65.017,81.471,76.018,78.216,76.211,78.870,81.314,72.825,96.465,87.393,81.454,120.834,100.251,81.879,106.725,83.761,81.807,92.990,78.206,83.760,80.795,72.274,71.234,75.305,68.122,73.434,67.683,89.346,62.630,74.000
777,64.744,80.519,76.057,77.966,75.084,79.122,80.601,73.571,96.880,86.181,81.414,121.964,100.321,81.804,107.751,83.429,81.963,93.198,77.911,84.705,81.304,73.462,72.190,73.892,67.904,73.521,67.704,89.214,62.681,73.851
778,64.956,80.475,75.928,78.223,75.385,79.092,80.262,73.505,96.892,87.428,81.419,120.298,100.815,81.422,106.442,84.056,81.716,92.262,78.333,84.649,81.468,72.112,71.891,74.780,68.173,73.202,68.235,89.418,63.027,73.482
779,65.196,80.768,75.972,78.192,75.137,79.299,80.680,73.217,96.171,87.000,81.362,120.355,100.045,81.347,107.923,83.765,82.054,92.148,78.420,84.357,81.608,72.782,71.723,74.226,68.166,73.507,68.032,89.823,62.865,73.039
780,64.849,81.120,76.211,77.904,75.208,79.320,80.759,73.102,96.514,86.351,81.644,120.447,100.540,81.256,107.378,83.412,81.861,92.604,78.568,84.904,80.681,72.548,72.562,73.872,68.125,73.353,67.903,89.266,62.638,73.515
781,64.880,81.196,76.001,77.643,75.115,79.006,80.846,73.467,97.056,86.926,81.533,120.713,100.236,81.614,106.180,83.238,81.938,91.934,77.901,84.156,81.677,72.695,72.204,73.965,68.115,73.139,67.855,89.804,63.070,72.945
782,65.142,80.635,76.378,77.795,75.575,78.693,80.701,73.215,96.846,86.816,81.526,119.989,100.995,81.933,107.838,83.539,82.122,92.672,77.836,84.407,81.768,72.178,72.642,73.864,68.085,73.042,67.362,89.025,62.569,73.392
783,65.013,81.106,76.320,78.302,75.068,78.877,80.869,72.827,96.746,86.184,81.294,120.815,100.576,81.798,108.391,83.454,81.182,92.871,78.212,84.040,81.567,73.041,72.314,73.552,67.645,73.133,67.511,89.468,63.027,72.324
784,64.922,81.419,76.072,78.189,73.960,79.269,80.613,72.968,95.951,86.413,81.437,120.634,100.233,81.499,108.751,83.590,81.602,92.444,78.055,83.878,80.939,72.310,71.657,74.202,67.912,72.918,67.595,89.385,62.850,73.350
785,64.953,81.255,75.742,78.511,74.655,78.928,80.680,73.026,95.848,87.189,81.021,120.060,101.077,81.612,107.589,83.256,81.494,92.793,78.374,84.010,80.635,72.726,72.336,74.145,67.839,72.990,67.692,89.085,62.893,72.466
786,64.988,81.703,75.903,77.964,75.807,79.070,80.674,73.311,96.469,85.851,81.307,119.370,100.978,81.883,107.334,83.838,81.557,93.078,78.550,83.992,82.281,72.467,71.657,74.259,68.156,73.228,67.631,89.294,63.137,73.550
787,65.083,80.531,75.871,80.478,75.786,78.863,80.979,73.260,108.481,91.161,82.290,126.332,121.550,84.865,110.162,85.539,81.435,92.850,80.475,84.194,81.338,73.102,73.985,85.208,67.912,73.256,67.507,89.452,63.055,74.049
788,64.997,81.477,75.642,84.088,76.615,79.675,81.025,72.872,109.367,92.418,82.602,134.496,177.437,90.049,112.018,90.498,84.457,93.364,79.877,84.134,81.433,73.995,73.423,110.621,67.947,73.506,68.348,89.056,62.942,74.032
789,64.963,80.273,75.909,83.017,75.860,79.082,80.846,73.277,104.643,90.610,81.805,133.540,168.378,86.982,112.237,87.881,83.764,92.614,79.248,84.455,80.567,73.157,73.372,104.310,68.085,73.577,67.188,89.083,62.861,73.906
790,65.142,80.830,75.522,81.774,75.460,79.470,81.106,73.228,102.381,88.557,81.441,128.513,152.937,84.732,110.365,85.407,82.594,93.613,79.505,84.206,81.430,73.406,72.526,96.562,67.458,73.323,67.602,89.967,62.900,73.129
791,65.036,80.782,75.744,79.901,75.571,78.464,80.983,72.712,99.289,87.498,81.282,128.013,140.138,84.087,108.851,84.586,81.946,93.887,80.392,84.216,81.236,73.294,73.080,88.275,67.981,72.920,67.672,88.833,63.081,73.285
792,64.806,80.862,75.506,79.841,75.953,79.126,81.279,73.058,98.871,88.241,81.261,126.813,130.513,82.749,110.692,84.221,82.148,93.037,78.810,84.784,81.319,72.985,72.577,83.418,67.574,73.277,67.586,89.587,62.857,72.893
793,64.917,81.483,75.684,79.239,75.208,79.058,81.198,73.299,97.636,87.811,80.923,124.623,123.165,82.549,109.190,85.103,82.318,92.349,78.651,83.990,80.905,72.888,71.825,80.870,67.874,72.991,67.986,88.956,63.066,73.285
794,65.002,80.551,75.732,79.039,74.879,78.894,81.528,73.094,97.374,88.167,81.709,124.419,117.873,81.695,109.486,84.298,82.474,92.992,78.628,85.291,81.411,73.025,71.292,79.941,67.900,72.723,68.081,89.000,62.894,73.000
795,64.749,81.224,75.780,79.244,75.171,78.845,81.177,72.303,96.677,87.911,81.380,123.591,114.371,81.871,108.743,84.594,81.213,93.687,80.491,84.447,81.487,73.162,71.686,78.134,67.724,73.138,68.034,90.111,62.738,73.155
796,64.912,81.246,76.105,78.646,75.140,79.446,81.252,72.783,96.738,88.360,81.249,123.087,111.929,82.617,108.450,84.116,81.526,93.707,80.188,84.363,81.300,73.030,72.153,77.065,67.767,72.628,67.801,89.444,62.854,73.026
797,65.002,80.782,75.543,78.776,75.208,79.322,81.312,72.947,97.411,87.493,81.082,122.413,108.936,83.208,110.134,83.914,81.190,93.150,79.493,84.381,81.692,72.949,71.818,76.460,67.729,73.279,68.276,88.887,62.774,73.767
798,65.197,80.513,75.173,78.279,75.053,78.697,81.437,72.774,96.538,86.744,80.918,122.209,107.281,82.645,109.347,83.267,81.293,93.125,78.685,84.699,81.749,71.574,71.591,75.882,67.589,72.856,68.188,89.388,62.955,73.395
799,64.939,80.683,75.772,78.757,76.037,78.866,81.385,72.437,96.663,87.490,80.691,121.996,105.904,82.214,110.098,83.412,81.881,93.210,78.592,83.928,81.612,71.980,71.372,75.159,67.803,72.732,67.799,89.336,63.309,73.317
800,65.027,80.760,75.524,78.032,75.009,79.351,81.206,72.864,96.758,87.254,80.932,122.572,105.324,82.160,107.730,83.472,81.318,93.460,79.048,84.261,81.163,72.274,71.511,75.269,67.908,72.761,68.054,89.462,62.726,72.570
801,65.130,81.216,75.480,78.495,75.345,78.977,81.387,72.533,94.844,86.477,80.409,119.855,103.779,81.112,108.103,82.995,80.634,93.029,78.947,84.096,81.395,72.817,72.431,74.613,67.695,72.772,67.235,89.662,62.890,73.019
802,64.927,81.088,75.843,77.745,74.425,78.637,81.329,72.507,95.178,85.679,81.015,119.766,103.554,81.566,108.555,83.167,80.685,92.603,78.958,84.457,80.753,72.751,71.015,75.059,67.374,72.535,67.532,89.601,63.076,72.388
