 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15
161,79.982,72.137,72.585,104.360,69.256,65.470,64.488,57.259,58.168,59.291,70.862,62.509,60.533,65.177,64.311
162,78.625,74.061,69.990,102.188,69.008,65.354,64.378,57.998,57.926,58.961,70.692,62.911,61.388,64.760,63.902
163,76.839,73.577,68.605,100.380,68.636,65.820,64.537,59.441,58.330,59.775,70.314,62.547,61.462,64.363,63.613
164,75.605,72.341,67.721,98.605,69.094,65.054,64.543,58.964,58.064,59.383,70.714,62.621,61.008,64.144,62.837
165,73.958,70.918,66.619,106.112,68.692,65.889,64.497,57.862,57.987,58.968,70.519,62.149,61.330,63.856,63.104
166,73.169,72.757,66.332,103.842,68.825,65.618,64.352,57.818,57.990,58.362,70.358,62.483,60.765,63.300,63.327
167,71.630,72.551,65.492,100.123,68.436,65.269,64.645,58.378,57.934,58.236,70.142,62.532,60.842,62.588,62.967
168,70.189,71.100,65.310,98.597,68.272,65.221,64.243,58.535,57.885,57.950,70.552,61.811,61.026,62.130,62.787
169,69.311,71.605,65.822,98.722,68.685,65.329,64.774,58.467,57.964,58.092,70.466,61.998,61.061,62.468,63.349
170,69.008,72.106,67.318,103.883,68.797,65.507,64.555,57.354,57.645,57.665,70.537,61.760,60.836,61.950,63.016
171,68.020,71.594,84.739,101.930,69.111,65.420,64.795,57.671,57.789,57.693,70.641,61.804,61.174,61.640,61.861
172,66.860,70.156,83.812,99.260,68.279,65.647,64.666,58.104,58.053,57.270,70.486,61.564,60.960,61.015,61.986
173,66.854,69.469,78.014,97.590,68.341,65.145,64.369,58.031,57.817,57.654,70.178,61.830,60.776,60.994,62.014
174,66.222,71.330,73.283,99.038,68.695,65.307,64.579,58.387,57.674,57.803,70.553,61.521,60.776,60.945,61.907
175,65.957,70.848,69.796,104.130,68.371,65.365,64.633,57.627,57.997,57.457,70.450,62.221,60.551,60.828,61.777
176,65.130,70.037,67.729,101.347,68.676,65.811,65.050,58.424,57.755,57.254,70.279,61.719,60.636,60.663,61.834
177,65.227,70.482,66.279,99.058,68.359,65.690,64.682,58.315,57.804,57.711,70.066,61.562,61.280,60.224,61.760
178,64.767,70.698,65.540,97.828,68.512,65.403,64.116,57.576,57.972,57.367,70.551,61.692,60.694,60.347,61.580
179,64.861,69.920,65.332,104.018,68.204,65.477,64.346,57.891,57.794,57.454,70.384,61.140,60.726,60.096,60.899
180,64.714,69.651,64.899,102.478,68.929,65.485,64.434,57.470,57.688,57.619,70.278,61.415,60.377,59.807,61.188
181,64.351,70.670,64.613,98.915,68.586,65.284,64.636,57.654,57.824,57.362,70.220,61.302,60.992,60.123,61.673
182,64.527,70.113,64.623,97.787,69.084,65.293,64.755,57.179,57.666,56.957,70.239,61.460,60.720,59.733,61.338
183,63.614,69.382,64.723,99.372,69.000,65.231,64.461,57.027,57.297,57.457,69.789,61.666,60.668,59.710,61.905
184,63.619,69.711,64.698,103.712,68.284,65.028,64.611,57.266,57.197,57.670,70.072,61.792,60.823,59.603,61.068
185,63.956,70.991,64.804,101.492,68.497,65.423,64.478,57.620,57.418,57.335,70.398,61.574,60.538,59.263,61.147
186,63.328,69.540,64.704,98.170,68.512,65.445,64.240,56.944,57.303,57.227,70.080,61.289,60.652,59.293,61.431
187,63.236,69.184,65.919,98.807,68.468,65.928,64.674,58.988,57.390,57.220,70.033,61.879,60.968,59.433,61.324
188,63.053,70.538,77.727,105.247,68.528,65.467,64.751,58.581,57.352,57.468,70.180,61.504,61.425,59.486,61.488
189,62.725,70.191,80.777,101.460,68.735,65.435,64.582,58.186,57.442,57.294,70.640,61.504,60.865,59.235,61.553
190,62.767,69.564,74.791,99.420,68.910,65.387,64.779,57.557,57.115,57.028,70.537,61.721,61.116,59.109,61.520
191,62.764,70.531,70.595,97.613,68.235,65.659,64.672,57.893,57.411,57.232,69.977,61.955,60.615,59.220,61.044
192,62.834,70.156,67.547,98.355,68.401,65.306,64.371,57.165,57.280,57.059,69.970,61.334,61.361,58.990,61.104
193,62.493,69.134,66.115,104.433,68.671,65.227,63.857,57.741,56.835,56.862,70.457,61.470,61.583,59.295,61.395
194,62.323,70.469,64.838,101.165,68.820,65.417,64.288,58.150,57.157,56.897,69.759,61.475,61.219,58.869,61.281
195,62.734,70.501,64.706,98.435,68.240,65.461,64.306,57.557,57.210,57.252,69.749,61.489,61.029,58.893,60.970
196,62.238,69.757,64.265,99.135,67.996,64.908,64.626,57.661,56.457,57.264,69.663,61.747,60.831,58.854,60.948
197,62.438,69.501,64.765,103.430,68.533,64.605,64.107,58.165,56.822,57.181,69.938,61.770,60.792,58.865,61.084
198,62.032,70.534,63.943,101.183,68.459,64.684,64.064,57.644,56.848,57.018,69.799,60.945,60.338,59.324,60.817
199,62.232,70.104,63.881,98.505,68.215,65.101,64.094,57.293,56.380,57.332,70.165,61.055,60.689,59.130,60.752
200,62.021,69.451,63.941,97.767,67.817,64.694,63.850,57.358,56.182,57.220,69.735,61.238,60.285,58.997,60.477
201,62.292,70.922,63.931,102.875,68.044,64.663,63.812,57.080,56.185,57.076,69.362,61.345,60.071,58.723,60.398
202,62.283,70.013,64.144,101.847,67.790,64.603,63.985,57.131,56.222,57.057,69.746,60.604,60.282,58.246,60.578
203,61.681,69.030,63.763,98.975,67.870,64.587,63.913,58.397,56.192,57.466,69.354,61.257,60.546,58.462,60.673
204,61.800,70.234,63.735,97.488,67.801,64.840,64.069,57.780,56.175,56.862,69.503,60.987,59.828,58.752,61.112
205,61.885,70.351,63.549,102.397,67.612,64.972,63.892,57.770,55.924,56.986,69.483,61.134,60.071,58.274,60.997
206,62.095,69.080,63.494,101.660,67.892,64.855,63.636,57.450,56.080,57.399,69.668,60.832,60.203,58.476,60.594
207,61.876,69.683,63.591,98.738,67.479,64.392,63.843,56.898,56.208,57.569,69.456,61.232,60.797,58.433,61.041
208,62.056,69.644,63.856,96.962,67.653,64.982,63.848,57.121,56.478,57.936,69.788,60.500,60.061,58.571,61.079
209,61.819,69.280,64.206,98.348,68.001,65.041,63.786,57.482,55.948,57.328,69.830,61.217,60.222,58.232,60.877
210,61.924,69.787,63.903,103.453,67.638,64.697,64.217,57.061,55.848,57.587,69.704,61.166,60.533,58.609,60.755
211,61.848,70.180,63.998,101.463,67.835,64.731,63.879,56.939,55.933,57.582,68.920,60.887,60.770,58.465,60.267
212,61.551,68.833,67.518,97.927,68.005,64.590,64.019,57.080,56.249,57.316,69.246,60.926,60.412,58.603,60.237
213,61.966,70.007,70.945,97.677,67.545,64.553,63.705,58.259,56.119,57.246,69.713,60.396,59.926,58.131,60.542
214,61.868,70.275,69.073,102.905,68.058,65.180,63.891,58.508,55.846,57.207,69.878,60.962,60.483,58.478,60.496
215,61.796,69.633,67.194,101.813,67.625,64.638,63.882,58.407,55.864,57.230,69.905,60.764,60.588,58.734,60.899
216,62.050,70.406,65.152,99.103,67.518,64.483,63.893,58.145,55.611,57.181,69.718,60.983,60.398,58.588,60.619
217,62.183,70.597,64.534,96.993,67.846,65.045,63.852,57.765,55.785,57.489,69.704,61.074,60.111,58.049,60.564
218,62.014,69.649,64.688,97.248,67.461,64.801,63.413,57.475,55.803,57.351,69.591,61.455,60.773,58.724,61.074
219,61.708,68.926,64.379,102.745,67.652,64.814,63.776,57.450,55.662,57.344,69.712,61.291,60.456,58.324,60.368
220,62.158,70.269,63.711,100.698,67.509,65.196,63.954,58.300,55.262,57.642,69.928,61.368,60.792,58.358,60.542
221,62.141,70.714,63.862,98.667,67.522,65.227,64.224,57.477,55.270,57.062,70.465,61.528,61.029,58.728,60.439
222,61.413,69.950,64.180,96.930,67.406,65.070,64.126,57.494,55.415,57.379,69.923,60.881,60.786,58.843,60.801
